assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,family,timeframe,leverage,params,total_return_pct,cagr_pct,mdd_pct,profit_factor,sharpe,win_rate_pct,trades,liquidations,final_equity_krw,symbol
10,9,405.3203841534688,23.935636942618956,-75.26465300338617,1.100518156451037,0.6638566678312958,4378,0,donchian,4h,1.0,"{""entry_n"": 10, ""exit_n"": 4}",757.2734551527655,26.922521020744462,-51.76286060186093,1.1814118419572865,0.8109922481239001,37.67258382642998,507,0,85727345.51527655,BTCUSDT
10,9,405.3203841534688,23.935636942618956,-75.26465300338617,1.100518156451037,0.6638566678312958,4378,0,donchian,4h,1.0,"{""entry_n"": 10, ""exit_n"": 4}",434.7419152945723,20.446642707929065,-62.35747999412453,1.1388240277460533,0.6327233853181449,36.73870333988212,509,0,53474191.529457234,ETHUSDT
10,9,405.3203841534688,23.935636942618956,-75.26465300338617,1.100518156451037,0.6638566678312958,4378,0,donchian,4h,1.0,"{""entry_n"": 10, ""exit_n"": 4}",3693.3115260547743,51.22318328356601,-59.3555477297737,1.1606586982693956,1.0138907089759954,38.91050583657588,514,0,379331152.60547745,BNBUSDT
10,9,405.3203841534688,23.935636942618956,-75.26465300338617,1.100518156451037,0.6638566678312958,4378,0,donchian,4h,1.0,"{""entry_n"": 10, ""exit_n"": 4}",309.0736711938316,18.49808652313547,-89.19769274309255,1.158524544813241,0.5781063543849301,32.55269320843091,427,0,40907367.119383164,XRPUSDT
10,9,405.3203841534688,23.935636942618956,-75.26465300338617,1.100518156451037,0.6638566678312958,4378,0,donchian,4h,1.0,"{""entry_n"": 10, ""exit_n"": 4}",375.8988530123653,20.5504885294173,-75.01834829039318,1.0995016316362145,0.6089670116252897,35.95505617977528,445,0,47589885.30123653,ADAUSDT
10,9,405.3203841534688,23.935636942618956,-75.26465300338617,1.100518156451037,0.6638566678312958,4378,0,donchian,4h,1.0,"{""entry_n"": 10, ""exit_n"": 4}",3238.219426275792,63.55508113098536,-91.1497160383414,1.1015346812658593,0.9204787601221138,32.608695652173914,368,0,333821942.6275792,DOGEUSDT
10,9,405.3203841534688,23.935636942618956,-75.26465300338617,1.100518156451037,0.6638566678312958,4378,0,donchian,4h,1.0,"{""entry_n"": 10, ""exit_n"": 4}",567.4791346107272,28.389986499408828,-78.61435726291319,1.0606337112916346,0.6964594202302764,37.89954337899543,438,0,66747913.46107273,LINKUSDT
10,9,405.3203841534688,23.935636942618956,-75.26465300338617,1.100518156451037,0.6638566678312958,4378,0,donchian,4h,1.0,"{""entry_n"": 10, ""exit_n"": 4}",-65.87197576818166,-11.636937306743356,-76.56695769475816,0.8897876408289114,0.036999410953738016,35.318275154004105,487,0,3412802.423181834,LTCUSDT
10,9,405.3203841534688,23.935636942618956,-75.26465300338617,1.100518156451037,0.6638566678312958,4378,0,donchian,4h,1.0,"{""entry_n"": 10, ""exit_n"": 4}",214.7152489652566,20.948752864493446,-75.51095771637918,1.0693233472980321,0.6200580777793726,37.640449438202246,356,0,31471524.89652566,SOLUSDT
10,9,405.3203841534688,23.935636942618956,-75.26465300338617,1.100518156451037,0.6638566678312958,4378,0,donchian,4h,1.0,"{""entry_n"": 10, ""exit_n"": 4}",330.87565700369714,28.021086090663317,-74.46688459202787,1.0716613798439032,0.6949899503444468,38.226299694189606,327,0,43087565.700369716,AVAXUSDT
