assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,family,timeframe,leverage,params,robust_ok,total_return_pct,cagr_pct,mdd_pct,profit_factor,sharpe,win_rate_pct,trades,liquidations,final_equity_krw,symbol
10,9,3107.83780903681,57.16612474331417,-72.94768921293887,1.236031202056961,0.9864907045504709,1454,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 7}",True,5370.167101250994,55.90071458704096,-45.42072844560998,1.4362471351911128,1.2618595471281397,37.77777777777778,180,0,547016710.1250994,BTCUSDT
10,9,3107.83780903681,57.16612474331417,-72.94768921293887,1.236031202056961,0.9864907045504709,1454,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 7}",True,2385.5602708075503,42.83542353512435,-72.64405141301668,1.3069325710797508,0.9175359844914519,36.206896551724135,174,0,248556027.08075505,ETHUSDT
10,9,3107.83780903681,57.16612474331417,-72.94768921293887,1.236031202056961,0.9864907045504709,1454,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 7}",True,9764.03238424749,68.58931184811341,-72.04815817201352,1.4094187289766507,1.1128942202686407,43.373493975903614,166,0,986403238.424749,BNBUSDT
10,9,3107.83780903681,57.16612474331417,-72.94768921293887,1.236031202056961,0.9864907045504709,1454,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 7}",True,397.7462873301159,21.332521810779447,-78.84229058006036,1.1863768461556443,0.6213593505437971,30.82191780821918,146,0,49774628.73301159,XRPUSDT
10,9,3107.83780903681,57.16612474331417,-72.94768921293887,1.236031202056961,0.9864907045504709,1454,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 7}",True,1083.346266668325,34.45071158525166,-72.62330299341215,1.2162021763865067,0.7733148885712937,34.868421052631575,152,0,118334626.66683248,ADAUSDT
10,9,3107.83780903681,57.16612474331417,-72.94768921293887,1.236031202056961,0.9864907045504709,1454,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 7}",True,6015.960533652935,78.04968501000238,-79.1125313108358,1.2558602277274151,1.0061759201629599,40.869565217391305,115,0,611596053.3652935,DOGEUSDT
10,9,3107.83780903681,57.16612474331417,-72.94768921293887,1.236031202056961,0.9864907045504709,1454,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 7}",True,3196.564415312586,58.43153489958739,-64.27938811445502,1.2109433527020286,0.9668054889379819,37.857142857142854,140,0,329656441.5312586,LINKUSDT
10,9,3107.83780903681,57.16612474331417,-72.94768921293887,1.236031202056961,0.9864907045504709,1454,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 7}",True,-39.39620628408095,-5.600383105954521,-83.66675230321215,0.9385628568346693,0.22387239618111052,35.44303797468354,158,0,6060379.371591905,LTCUSDT
10,9,3107.83780903681,57.16612474331417,-72.94768921293887,1.236031202056961,0.9864907045504709,1454,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 7}",True,6747.790811572044,101.6072536168616,-73.25132701286105,1.3395053386087628,1.2365856939909003,38.59649122807017,114,0,684779081.1572044,SOLUSDT
10,9,3107.83780903681,57.16612474331417,-72.94768921293887,1.236031202056961,0.9864907045504709,1454,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 7}",True,3019.1112027610343,78.92468974065201,-81.34814712587163,1.143271398096647,1.109100926709822,33.94495412844037,109,0,311911120.27610344,AVAXUSDT
10,9,3302.825138531465,62.69477684240087,-78.41294845167573,1.1932957680327396,1.0012557703048186,1454,0,supertrend,4h,1.15,"{""mult"": 3.5, ""period"": 7}",True,8225.958374753161,63.33937766631224,-50.317250285197005,1.3908685083668904,1.264110199025956,37.77777777777778,180,0,832595837.475316,BTCUSDT
10,9,3302.825138531465,62.69477684240087,-78.41294845167573,1.1932957680327396,1.0012557703048186,1454,0,supertrend,4h,1.15,"{""mult"": 3.5, ""period"": 7}",True,2679.3735281588015,44.61721186405332,-79.09752768189281,1.268010341313269,0.9095531670161274,36.206896551724135,174,0,277937352.8158801,ETHUSDT
10,9,3302.825138531465,62.69477684240087,-78.41294845167573,1.1932957680327396,1.0012557703048186,1454,0,supertrend,4h,1.15,"{""mult"": 3.5, ""period"": 7}",True,14071.633006618717,75.68345082861319,-76.04258193421506,1.3592118550986825,1.1261515112417206,43.373493975903614,166,0,1417163300.6618717,BNBUSDT
10,9,3302.825138531465,62.69477684240087,-78.41294845167573,1.1932957680327396,1.0012557703048186,1454,0,supertrend,4h,1.15,"{""mult"": 3.5, ""period"": 7}",True,333.8376513200604,19.340193434767073,-84.21039308830139,1.1415594857232205,0.6096303104352271,30.82191780821918,146,0,43383765.13200604,XRPUSDT
10,9,3302.825138531465,62.69477684240087,-78.41294845167573,1.1932957680327396,1.0012557703048186,1454,0,supertrend,4h,1.15,"{""mult"": 3.5, ""period"": 7}",True,1072.0945915479783,34.29690879032883,-77.66100542717788,1.1761258224209707,0.7667990669243253,34.868421052631575,152,0,117209459.15479784,ADAUSDT
10,9,3302.825138531465,62.69477684240087,-78.41294845167573,1.1932957680327396,1.0012557703048186,1454,0,supertrend,4h,1.15,"{""mult"": 3.5, ""period"": 7}",True,7386.378488732336,83.17054689827901,-83.51664701957624,1.2104657136445085,1.0271636244916686,40.869565217391305,115,0,748637848.8732337,DOGEUSDT
10,9,3302.825138531465,62.69477684240087,-78.41294845167573,1.1932957680327396,1.0012557703048186,1454,0,supertrend,4h,1.15,"{""mult"": 3.5, ""period"": 7}",True,3813.5002941395846,62.0501760184895,-70.82733239505583,1.1728571429106083,0.9753479161179688,37.857142857142854,140,0,391350029.4139585,LINKUSDT
10,9,3302.825138531465,62.69477684240087,-78.41294845167573,1.1932957680327396,1.0012557703048186,1454,0,supertrend,4h,1.15,"{""mult"": 3.5, ""period"": 7}",True,-55.22013310433098,-8.831070643046246,-88.08032388246522,0.9132940694622291,0.22748479324266127,35.44303797468354,158,0,4477986.689566902,LTCUSDT
