assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,entry_n,exit_n,ema_n,strong_threshold,base_exposure,strong_exposure,part,train_rank,train_cagr_pct,train_mdd_pct,mdd35_ok,total_return_pct,cagr_pct,mdd_pct,profit_factor,sharpe,win_rate_pct,trades,liquidations,final_equity_krw,symbol
10,8,26.68383340098015,10.004039793136588,-25.746366752489273,1.6584689740038818,0.6435029301195514,336,160,40,400,1.1,0.5,0.75,oos,1,28.482088941079308,-43.07853438576773,True,28.111517851442414,9.611745931134298,-18.327876038198564,1.8660646450816294,0.7790511660596198,33.33333333333333,48,0,12811151.785144242,BTCUSDT
10,8,26.68383340098015,10.004039793136588,-25.746366752489273,1.6584689740038818,0.6435029301195514,336,160,40,400,1.1,0.5,0.75,oos,1,28.482088941079308,-43.07853438576773,True,51.50977759466977,16.639597600771516,-19.98367787105828,1.8041885671014957,0.9791407957970348,36.36363636363637,44,0,15150977.759466976,ETHUSDT
10,8,26.68383340098015,10.004039793136588,-25.746366752489273,1.6584689740038818,0.6435029301195514,336,160,40,400,1.1,0.5,0.75,oos,1,28.482088941079308,-43.07853438576773,True,-8.634058239538078,-3.371224834082087,-28.96039987164365,0.856685987264821,-0.1365011937770962,29.82456140350877,57,0,9136594.176046193,BNBUSDT
10,8,26.68383340098015,10.004039793136588,-25.746366752489273,1.6584689740038818,0.6435029301195514,336,160,40,400,1.1,0.5,0.75,oos,1,28.482088941079308,-43.07853438576773,True,158.7359478303229,46.555746124593476,-25.995073823843416,2.532357154632694,1.4722606996344316,38.70967741935484,31,0,25873594.78303229,XRPUSDT
10,8,26.68383340098015,10.004039793136588,-25.746366752489273,1.6584689740038818,0.6435029301195514,336,160,40,400,1.1,0.5,0.75,oos,1,28.482088941079308,-43.07853438576773,True,67.32414525524557,22.851602148009253,-27.755310006794907,2.6153256500415183,0.8825718948285606,45.83333333333333,24,0,16732414.525524557,ADAUSDT
10,8,26.68383340098015,10.004039793136588,-25.746366752489273,1.6584689740038818,0.6435029301195514,336,160,40,400,1.1,0.5,0.75,oos,1,28.482088941079308,-43.07853438576773,True,109.8814803662631,41.45379701444123,-28.869858927050974,2.1909476859526538,1.288686543419314,44.44444444444444,27,0,20988148.03662631,DOGEUSDT
10,8,26.68383340098015,10.004039793136588,-25.746366752489273,1.6584689740038818,0.6435029301195514,336,160,40,400,1.1,0.5,0.75,oos,1,28.482088941079308,-43.07853438576773,True,25.256148950517886,10.396333655138879,-25.497659681135133,1.4544532122274447,0.507954694179483,31.25,32,0,12525614.895051789,LINKUSDT
10,8,26.68383340098015,10.004039793136588,-25.746366752489273,1.6584689740038818,0.6435029301195514,336,160,40,400,1.1,0.5,0.75,oos,1,28.482088941079308,-43.07853438576773,True,-19.277799675459672,-7.898755925915879,-48.86321437243094,0.7683455101704009,-0.1954373939017258,33.33333333333333,36,0,8072220.032454032,LTCUSDT
10,8,26.68383340098015,10.004039793136588,-25.746366752489273,1.6584689740038818,0.6435029301195514,336,160,40,400,1.1,0.5,0.75,oos,1,28.482088941079308,-43.07853438576773,True,13.325199098918183,7.164951778958528,-21.202217667066403,1.512749380906268,0.46800323951972,40.909090909090914,22,0,11332519.909891818,SOLUSDT
10,8,26.68383340098015,10.004039793136588,-25.746366752489273,1.6584689740038818,0.6435029301195514,336,160,40,400,1.1,0.5,0.75,oos,1,28.482088941079308,-43.07853438576773,True,1.5846083133626232,0.890553341173006,-18.437074794530883,1.071037477028287,0.1342984038818018,40.0,15,0,10158460.831336262,AVAXUSDT
