assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,entry_n,exit_n,ema_n,leverage,part,eligible
10,10,521.9491430558548,35.96568585290713,-35.34499031009334,1.474000609659306,1.0834042558741523,5169,0,160,80,100,0.5,train,True
10,10,207.15975928252834,24.30491312225019,-35.71610783347555,1.541810234110783,0.9078861603793229,2460,0,160,30,100,0.5,train,True
10,10,451.20011596773634,32.46064852995673,-35.973026581425984,1.7294697207536833,1.0558839805268132,2048,0,160,60,400,0.5,train,True
10,10,255.30576925225773,25.07026917514601,-36.4067946721917,1.6834324893143378,1.0291657454889624,1903,0,160,30,400,0.5,train,True
10,10,481.16545336519346,33.75870324088779,-36.53246031694839,1.4841623934687018,1.005404625957777,4638,0,200,80,100,0.5,train,True
10,10,562.129971035919,38.2372609479353,-36.58372420037503,1.71354233521185,1.0339491835288714,2351,0,160,80,400,0.5,train,True
10,9,245.29731541717578,24.497789500738257,-36.61830443603432,1.4153812161902812,0.9135637740998203,3282,0,80,30,300,0.5,train,True
10,10,266.5506276003788,23.546280520534346,-36.7067140108082,1.6202970727510584,1.0016996562139324,1834,0,160,30,300,0.5,train,True
10,10,224.20035589807566,22.604360378230822,-37.4109384411981,1.6209640102226484,0.9757396754612042,1807,0,160,30,200,0.5,train,True
10,10,495.5341055978612,34.06098936989177,-37.50988404623985,1.6493781698623673,1.0942669612032496,3126,0,160,80,200,0.5,train,True
10,10,473.4789130657052,32.85864973929942,-37.72975812389333,1.7167744306515882,0.9467260657558716,1935,0,200,80,400,0.5,train,True
10,10,375.72219484044655,31.814625363051377,-37.750066415797356,1.453481284979367,0.9735289961499474,4295,0,160,60,100,0.5,train,True
10,10,453.0308754753765,32.93826956769375,-37.78409214658984,1.7145600724588521,0.9954551996179599,2101,0,200,80,300,0.5,train,True
10,10,459.7121785306565,32.8370754754732,-37.94064735819048,1.7510902139438518,1.0637663064439082,2118,0,160,60,300,0.5,train,True
10,10,400.91786689204514,29.505335408850296,-37.959030804738276,1.755674960828222,0.9596657712356356,1637,0,200,60,400,0.5,train,True
10,10,323.0393930093571,26.5722227449144,-38.039673288061195,1.7211611127495146,0.987895584685953,1470,0,200,40,300,0.5,train,True
10,10,323.00339229189865,26.52349991332228,-38.211017396762166,1.6924739681470649,0.9705774644977548,1551,0,200,40,400,0.5,train,True
10,10,450.17433614936635,31.818930313625504,-38.451030815347366,1.6153816454069274,1.0228019019553238,2624,0,200,80,200,0.5,train,True
10,10,299.509777992967,28.04630445330104,-38.47010048363441,1.6062428395708381,0.9517517800446758,2685,0,200,40,100,0.5,train,True
10,10,348.4664255875789,28.012235559829023,-38.71905134617006,1.7472047731303513,1.0146172308060382,1509,0,200,40,200,0.5,train,True
10,10,355.62455910161316,29.07612997048661,-38.76784461901427,1.7008149628361848,1.0861041882776465,1920,0,160,40,200,0.5,train,True
10,10,551.5610607574928,36.95582922228151,-38.87877292302491,1.7781300312798147,1.0884524294728704,2581,0,160,80,300,0.5,train,True
10,9,239.18316060358669,25.724015197306016,-38.88365018471296,1.5531977016671883,0.9596181459804831,2390,0,120,30,400,0.5,train,True
10,10,376.7469436873837,29.197078087467233,-38.88495709781254,1.7267847828157687,0.9618023292913942,1654,0,200,60,300,0.5,train,True
10,10,525.7251857304474,36.879592976063456,-38.96918660023767,1.6297000707732447,1.0509631994057056,3000,0,120,80,400,0.5,train,True
10,10,368.1478229438914,28.81351775406572,-38.97644121428338,1.7331156291051988,1.0880050102567234,1918,0,160,40,400,0.5,train,True
10,10,309.77493434744247,30.697805140852786,-39.08283772200723,1.5633103593123265,0.9959480681868087,3085,0,160,40,100,0.5,train,True
10,10,479.83558937962596,32.049024013205795,-39.13935432929055,1.6919027028644764,1.1252887865744667,2456,0,160,60,200,0.5,train,True
10,10,247.55001099370986,22.46142895967094,-39.25364583275034,1.625558068301725,0.9713051756145779,1562,0,200,30,400,0.5,train,True
10,9,261.0563717788138,25.06529976374192,-39.34144759279059,1.451253048284344,0.9429343277352172,3078,0,80,30,400,0.5,train,True
10,10,233.14648527856414,25.195219106030297,-39.56396841174334,1.5657148207898381,0.9051386779776041,2143,0,200,30,100,0.5,train,True
10,10,465.5081491299188,32.58434946978842,-39.9377342521672,1.6593646322582543,1.122778444131908,2639,0,120,60,400,0.5,train,True
10,10,235.4578560316575,22.516088056498205,-40.0576289046211,1.6419499742907053,0.9905042727613453,1471,0,200,30,300,0.5,train,True
10,9,232.906679878964,22.868133260275023,-40.10664960656189,1.4707549492480712,0.9329588066332531,2352,0,120,30,200,0.5,train,True
10,9,246.75737144922527,23.83044888062956,-40.24923069340967,1.508578300925429,0.9422249814194573,2403,0,120,30,300,0.5,train,True
10,10,241.2704267437181,22.84862161062793,-40.265124510312944,1.654874428482128,0.9873039377655803,1463,0,200,30,200,0.5,train,True
10,9,247.06332659774424,24.712457873542892,-40.40372128321722,1.399498312816082,0.9562360810993642,2997,0,120,30,100,0.5,train,True
10,10,422.0020803569124,32.68441248286999,-40.420873050189584,1.5270748593242067,1.0183409915518158,3866,0,80,60,300,0.5,train,True
10,9,343.98281623235204,29.559251523265008,-40.586560611704925,1.52202897159451,1.0140350030798169,3438,0,80,40,300,0.5,train,True
10,10,362.4535490219155,27.888567005213424,-40.694960504146025,1.69307924958242,1.0954043839746355,1874,0,160,40,300,0.5,train,True
10,10,349.167412563531,29.787064318018516,-40.94154708186653,1.6224026185672917,1.115032364395307,2441,0,120,40,400,0.5,train,True
10,10,426.49950074417654,33.0353427938162,-40.948609049627265,1.4893857417819822,1.091043473045815,4009,0,120,80,200,0.5,train,True
10,10,444.52759245158825,30.77895265933135,-41.24585045035809,1.7010048979132004,1.029319238835238,1959,0,200,60,200,0.5,train,True
10,10,372.0880180560836,31.301164915706927,-41.33294254535114,1.4854332466270004,0.9536620637380733,3772,0,200,60,100,0.5,train,True
10,10,343.9493676133653,29.538326553042605,-41.68473339332726,1.53830957299688,1.022083918314995,3163,0,80,40,400,0.5,train,True
10,10,516.4303578305958,36.62098802737135,-41.72622439835874,1.6587427665157315,1.0895452810200703,3360,0,120,80,300,0.5,train,True
10,9,338.31956611073144,27.1434530561643,-41.98950977973213,1.5358992933123536,1.0886954022095834,2501,0,120,40,300,0.5,train,True
10,10,444.434376523693,31.842602369969608,-42.09977358219892,1.5423983338731748,1.0091290912208573,3419,0,80,60,400,0.5,train,True
10,9,373.5171560502753,30.929976854653063,-42.127521966774246,1.4649304612328866,0.9885637176145103,3891,0,80,40,200,0.5,train,True
10,10,419.6582374720509,31.18036144011805,-42.575855583830176,1.674438231715193,1.109286822592142,2822,0,120,60,300,0.5,train,True
10,10,300.4614142788738,30.71707949797091,-42.76445664227094,1.4727287358766126,0.9450416912091566,2460,0,160,30,100,0.65,train,True
10,9,297.4823091688551,28.932989367420923,-42.82738138152481,1.407033552923683,1.0315761058629023,3776,0,120,40,100,0.5,train,True
10,9,491.6369490362432,35.98358402483359,-42.84034547853235,1.3571898378390999,1.0795208571139696,6121,0,120,80,100,0.5,train,True
10,10,933.0611344006347,48.89966523816538,-43.219285041292785,1.6135794454536077,1.0617520809790872,2351,0,160,80,400,0.65,train,True
10,10,434.47718354283955,30.246323689608815,-43.237306294611955,1.5551435935854896,1.1334247627088012,3235,0,120,60,200,0.5,train,True
10,9,210.03806432866992,25.014935640457715,-43.269043109808685,1.3704336098053305,0.8425848584325184,3577,0,80,30,200,0.5,train,True
10,9,354.71324860634695,26.95305477099783,-43.41822249339261,1.5164508062373523,1.096589269525684,2566,0,120,40,200,0.5,train,True
10,10,776.5975177243591,42.754489596933944,-43.49707899439863,1.4215142706636303,1.0234148498451647,4638,0,200,80,100,0.65,train,True
10,9,379.8859867312586,31.61653820280838,-43.647439463487416,1.3749769824906521,1.0404931422227648,5162,0,120,60,100,0.5,train,True
10,10,888.9631441977131,45.796027309047915,-43.806937779874545,1.408737628967803,1.1030764682256096,5169,0,160,80,100,0.65,train,True
10,10,732.0267443088912,41.702918239970664,-43.99357048818339,1.6418289732103992,1.078475452973775,2048,0,160,60,400,0.65,train,True
10,10,380.2844745391937,31.8579248328572,-44.171924905125145,1.5983500170872946,1.0473948939900746,1903,0,160,30,400,0.65,train,True
10,10,396.9424068404948,29.677973737340132,-44.39360852125351,1.5762014493138783,1.0140120708705718,1834,0,160,30,300,0.65,train,True
10,10,710.3686159549986,41.22612861012299,-44.6093557377836,1.623697258428935,0.9676858079529175,1935,0,200,80,400,0.65,train,True
10,10,722.5874251196751,41.86464763310575,-44.721695667668484,1.5998591864154406,1.0182218988133096,2101,0,200,80,300,0.65,train,True
10,10,742.5603359137949,42.082928851676684,-44.83635827273535,1.6645660732712981,1.0871337314711227,2118,0,160,60,300,0.65,train,True
10,10,820.2491501898519,43.362376721547164,-44.91132281002578,1.5495398849233677,1.1187775679157257,3126,0,160,80,200,0.65,train,True
10,10,414.9428697204215,32.915069755250755,-45.1101840964057,1.4499240837414196,1.0024275099768452,4721,0,80,60,200,0.5,train,True
10,9,355.48280614781163,30.840952399616317,-45.1550542396577,1.3401970412986235,0.9278037822616674,3282,0,80,30,300,0.65,train,True
10,10,326.64284086274387,28.42404324028456,-45.353908703218465,1.574664979232398,0.9921206479363085,1807,0,160,30,200,0.65,train,True
10,9,321.5420406320694,29.91832275413099,-45.40289088878539,1.3478426310760394,0.9458300192596261,5195,0,80,40,100,0.5,train,True
10,10,508.16870121268045,33.8299946666435,-45.45763265172151,1.623149844289686,1.006935269297778,1470,0,200,40,300,0.65,train,True
10,10,544.6580616031592,36.289520323812894,-45.90685706070324,1.6694987611746301,1.038993937075975,1509,0,200,40,200,0.65,train,True
10,10,734.7785706694212,40.71427884636436,-45.91874998503176,1.512416651240752,1.0435244306209608,2624,0,200,80,200,0.65,train,True
10,10,553.9873252751286,37.67086651924401,-45.95394925048187,1.631286809231995,1.1141571408074151,1920,0,160,40,200,0.65,train,True
10,10,769.1143415942627,41.308048321435265,-46.08443216714127,1.613582008995005,1.1474905142906504,2456,0,160,60,200,0.65,train,True
10,10,594.9856276333835,37.18552211822961,-46.28087382942383,1.6513850404872024,0.9793599989050754,1654,0,200,60,300,0.65,train,True
10,10,597.6842844308034,41.385653595125035,-46.311755886603464,1.3944255694801022,1.0070588079778235,4295,0,160,60,100,0.65,train,True
10,10,851.011371074447,46.763970891946585,-46.368705063254666,1.5347930916272348,1.079443776583182,3000,0,120,80,400,0.65,train,True
10,10,594.6832486596818,36.673083958242614,-46.422441703329056,1.6722711953743397,0.9784721361694636,1637,0,200,60,400,0.65,train,True
10,9,178.86695445934225,21.928630271846217,-46.47751014302225,1.3170750378692575,0.7752421856653298,4225,0,80,30,100,0.5,train,True
10,10,465.27387385790223,35.093055750894266,-46.56036277101038,1.5044056240677102,0.9717800785603794,2685,0,200,40,100,0.65,train,True
10,10,477.11388223557014,32.6715229710685,-46.58593638756295,1.6007006151125887,0.9882850739336847,1551,0,200,40,400,0.65,train,True
10,10,376.1565932808616,28.48239546255542,-46.853965561513974,1.555255146954182,0.9912771440983805,1562,0,200,30,400,0.65,train,True
10,10,576.1477267682938,36.80126913204229,-46.96190450971337,1.6363788641791537,1.114069362592561,1918,0,160,40,400,0.65,train,True
10,10,905.0088938115222,46.446841882009736,-47.137509080311396,1.671946576378815,1.1155825899005776,2581,0,160,80,300,0.65,train,True
10,10,330.7956905842664,31.58754254912173,-47.25528663932147,1.4898320485316034,0.941367259675695,2143,0,200,30,100,0.65,train,True
10,10,481.95468024244724,40.00811357601265,-47.54545735946644,1.512796407924148,1.039231147202642,3085,0,160,40,100,0.65,train,True
