assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,entry_n,exit_n,ema_n,leverage,part,train_rank,train_return_pct,train_mdd_pct,robust_oos
10,8,12.47726492540523,4.4991687849275985,-23.607494308111555,1.2318171044568895,0.419013021532812,707,0,200,40,400,0.5,oos,17,323.00339229189865,-38.211017396762166,True
10,8,9.992720508494758,4.356576444427896,-24.30475596293129,1.1892101220481561,0.36027941649607537,966,0,200,40,100,0.5,oos,19,299.509777992967,-38.47010048363441,True
10,8,12.501255595428042,4.51971275041867,-24.957825818001993,1.2312006426684743,0.41446211858294413,675,0,200,40,300,0.5,oos,16,323.0393930093571,-38.039673288061195,True
10,7,19.792403293732185,7.007391444229649,-25.727360123638945,1.3371351515749037,0.6034514294859465,827,0,160,30,300,0.5,oos,8,266.5506276003788,-36.7067140108082,True
10,8,9.405657406119483,3.4326825027344077,-25.811927077405002,1.158919413655615,0.3300462563562193,690,0,200,40,200,0.5,oos,20,348.4664255875789,-38.71905134617006,True
10,7,15.970245015749663,6.95966720942962,-26.078324827103483,1.286403993184023,0.5447843262534198,918,0,160,30,100,0.5,oos,2,207.15975928252834,-35.71610783347555,True
10,7,22.575141791847088,7.9251401073788585,-26.836549972007173,1.3732746264067988,0.6442625486259002,861,0,160,30,400,0.5,oos,4,255.30576925225773,-36.4067946721917,True
10,8,16.126125818234037,5.772400876367789,-27.413236801802682,1.2542131145221145,0.5058360346205681,750,0,160,30,200,0.5,oos,9,224.20035589807566,-37.4109384411981,True
10,7,19.75610250655557,7.842223464377939,-28.803649599872795,1.2539844476393067,0.4293747498986388,796,0,200,60,400,0.5,oos,15,400.91786689204514,-37.959030804738276,True
10,7,17.003266403542796,7.745704860175328,-29.231164020614386,1.2592563438040751,0.4406848409087098,1002,0,160,60,400,0.5,oos,3,451.20011596773634,-35.973026581425984,True
10,6,16.708291637522475,6.403119384952571,-29.309452131808005,1.1968549911777797,0.43946244701739545,1715,0,160,60,100,0.5,oos,12,375.72219484044655,-37.750066415797356,True
10,7,16.710913627449855,7.990747507384965,-29.466290347470178,1.2589445912051738,0.4542804843447315,1033,0,160,60,300,0.5,oos,14,459.7121785306565,-37.94064735819048,True
10,7,22.63901771837461,8.140670613606959,-31.20308464985876,1.261655588765474,0.46134360585190437,904,0,200,80,400,0.5,oos,11,473.4789130657052,-37.72975812389333,True
10,8,17.307461722823035,6.144677815818467,-31.47826011908823,1.1726227884803466,0.4636566644231265,1572,0,80,30,300,0.5,oos,7,245.29731541717578,-36.61830443603432,True
10,7,24.420711950172393,9.129681966273262,-32.171607457922995,1.2710211297463987,0.48029304407084433,977,0,200,80,300,0.5,oos,13,453.0308754753765,-37.78409214658984,True
10,8,17.724320027653185,6.864564435409825,-32.31581749369342,1.2133728626424483,0.46114694380743215,1212,0,200,80,200,0.5,oos,18,450.17433614936635,-38.451030815347366,True
10,6,10.702993148929785,4.138504831801426,-32.537603233988285,1.114286005174249,0.34572703120256937,1881,0,200,80,100,0.5,oos,5,481.16545336519346,-36.53246031694839,True
10,7,21.062339225022484,7.873745442365976,-32.86217659313944,1.2173285753447396,0.5162502898904275,1440,0,160,80,200,0.5,oos,10,495.5341055978612,-37.50988404623985,True
10,7,14.548094020143276,5.294409893303554,-32.96083201748267,1.1230926804962729,0.39355165791630436,2117,0,160,80,100,0.5,oos,1,521.9491430558548,-35.34499031009334,True
10,7,24.88580247562234,10.06226143124237,-32.975064608607404,1.2785438651670615,0.49032068089353975,1125,0,160,80,400,0.5,oos,6,562.129971035919,-36.58372420037503,True
