symbol,strategy,timeframe,leverage,data_start,data_end,bars,total_return_pct,cagr_pct,mdd_pct,profit_factor,sharpe,win_rate_pct,trades,liquidations,final_equity_krw
BTCUSDT,"Supertrend 10,3",4h,1.0,2017-08-17 04:00:00+00:00,2026-08-21 20:00:00+00:00,19735,2738.333399808153,44.95444847400394,-46.33104732623241,1.4386064094390045,1.0714928582960395,40.45454545454545,220,0,283833339.9808153
BTCUSDT,Donchian 20/10,4h,1.0,2017-08-17 04:00:00+00:00,2026-08-21 20:00:00+00:00,19735,1255.0306359993046,33.53674536690647,-64.99643009835054,1.3581895408049631,0.9231200640135494,39.84674329501915,261,0,135503063.59993047
BTCUSDT,Donchian 20/10,4h,2.0,2017-08-17 04:00:00+00:00,2026-08-21 20:00:00+00:00,19735,3157.513529154695,47.187006563145275,-89.3430499632881,1.2058280281168263,0.8921161980573157,39.84674329501915,261,0,325751352.9154695
BTCUSDT,"Supertrend 40,3",1h,1.0,2017-08-17 04:00:00+00:00,2026-08-21 23:00:00+00:00,78876,567.5687251155686,23.447526210675186,-75.84483975556408,1.1069395499107049,0.6742716863776095,36.104513064133016,842,0,66756872.51155686
BTCUSDT,Donchian 80/40,1h,1.0,2017-08-17 04:00:00+00:00,2026-08-21 23:00:00+00:00,78876,1232.4398099164132,33.2864111139072,-55.82887013001159,1.3619202154817234,0.9116184872482447,39.67213114754099,305,0,133243980.99164131
BTCUSDT,Donchian 80/40,1h,2.0,2017-08-17 04:00:00+00:00,2026-08-21 23:00:00+00:00,78876,4009.85478900849,51.0299148418113,-82.51179889873704,1.2368001204183785,0.9240145172582988,39.67213114754099,305,0,410985478.90084904
ETHUSDT,"Supertrend 10,3",4h,1.0,2017-08-17 04:00:00+00:00,2026-08-21 20:00:00+00:00,19735,1398.4878751127044,35.03619284271995,-68.47719887164001,1.2443243348018875,0.8223548117714566,33.93665158371041,221,0,149848787.51127043
ETHUSDT,Donchian 20/10,4h,1.0,2017-08-17 04:00:00+00:00,2026-08-21 20:00:00+00:00,19735,615.5445646054616,24.40283296292236,-66.81054924447338,1.164528314592155,0.6870837066187655,32.12996389891697,277,0,71554456.46054615
ETHUSDT,Donchian 20/10,4h,2.0,2017-08-17 04:00:00+00:00,2026-08-21 20:00:00+00:00,19735,-100.0,-100.0,-100.0,0.0,-0.3923470407095315,0.0,1,0,0.0
ETHUSDT,"Supertrend 40,3",1h,1.0,2017-08-17 04:00:00+00:00,2026-08-21 23:00:00+00:00,78876,225.05760165430812,13.9737482401332,-75.37388519967816,1.0443951829317628,0.518435980643183,38.324022346368714,895,0,32505760.165430814
ETHUSDT,Donchian 80/40,1h,1.0,2017-08-17 04:00:00+00:00,2026-08-21 23:00:00+00:00,78876,1453.3984902111795,35.574941952187885,-63.972447918049255,1.2638036033302187,0.8416651383649033,38.58520900321543,311,0,155339849.02111796
ETHUSDT,Donchian 80/40,1h,2.0,2017-08-17 04:00:00+00:00,2026-08-21 23:00:00+00:00,78876,-100.0,-100.0,-100.0,0.0,-0.3819693078023844,0.0,1,0,0.0
BNBUSDT,"Supertrend 10,3",4h,1.0,2017-11-06 00:00:00+00:00,2026-08-21 20:00:00+00:00,19250,6246.063972192494,60.33953193978485,-75.92795010900116,1.280710406573012,1.0381929054150074,43.05555555555556,216,0,634606397.2192494
BNBUSDT,Donchian 20/10,4h,1.0,2017-11-06 00:00:00+00:00,2026-08-21 20:00:00+00:00,19250,11185.481007564664,71.19090352957778,-55.53109384504079,1.3552297057405525,1.195852172644334,43.984962406015036,266,0,1128548100.7564664
BNBUSDT,Donchian 20/10,4h,2.0,2017-11-06 00:00:00+00:00,2026-08-21 20:00:00+00:00,19250,64250.892966020685,108.68056916850621,-79.57988560974735,1.173393990374837,1.2165195525395085,43.984962406015036,266,0,6435089296.602068
BNBUSDT,"Supertrend 40,3",1h,1.0,2017-11-06 03:00:00+00:00,2026-08-21 23:00:00+00:00,76939,236.95703352230794,14.818872981983166,-80.95667071038926,1.0376672986391058,0.5420910495856155,38.504464285714285,896,0,33695703.352230795
BNBUSDT,Donchian 80/40,1h,1.0,2017-11-06 03:00:00+00:00,2026-08-21 23:00:00+00:00,76939,8244.929110824047,65.41235145369855,-59.81240002713366,1.2952053132018984,1.1094403858750557,40.0,315,0,834492911.0824047
