single,pair_total,ultra,p1,p2,trail,edge,max_total,windows,median_return_pct,best_return_pct,worst_return_pct,median_mdd_pct,worst_mdd_pct,profitable_rate_pct,windows_10x_plus,windows_30x_plus,windows_100x_plus,windows_500x_plus,liquidations,score
1.0,1.2,2.0,1.5,2.25,0.12,0.035,2.5,14,98.43134278507591,19110.59392089837,-30.33036105933108,-53.79519539267076,-67.40223551358757,71.42857142857143,4,3,3,0,0,75.05477272623719
0.8,1.0,2.0,1.5,2.25,0.12,0.035,2.5,14,108.02922511778712,13956.66107991556,-24.66247440159899,-52.67545341130866,-65.33644119737139,71.42857142857143,4,3,1,0,0,86.48674056866076
1.0,1.2,1.5,1.25,1.75,0.12,0.035,2.5,14,136.86736554701818,8740.724010270851,-8.358429808202706,-48.42740371174285,-62.75358708912968,78.57142857142857,4,3,0,0,0,120.18126737079774
0.8,1.0,1.5,1.25,1.75,0.12,0.035,2.5,14,129.02513374590637,5001.662487025158,-19.465366295626964,-46.45115346615655,-59.93153432450589,71.42857142857143,4,3,0,0,0,115.24648189656313
0.8,1.0,1.5,1.25,1.75,0.18,0.035,2.5,14,99.92847162866558,5011.463247289415,-13.063167479188865,-49.17924223292049,-59.86032962115273,71.42857142857143,4,3,0,0,0,83.72302177057604
1.0,1.2,1.5,1.25,1.75,0.18,0.035,2.5,14,68.51930649939595,6881.8469411676715,-10.59061492561244,-50.967272196556515,-63.801770826167704,78.57142857142857,4,3,0,0,0,49.128053192028005
1.0,1.2,2.0,1.5,2.25,0.18,0.035,2.5,14,11.170035256260281,6731.70006720711,-16.666185624035435,-57.70900812486945,-69.49104801639656,64.28571428571429,4,2,0,0,0,-28.564491262680846
0.8,1.0,2.0,1.5,2.25,0.18,0.035,2.5,14,67.57415520714702,4053.8259258508774,-22.828175913251147,-55.82956760505407,-68.95127845661504,64.28571428571429,4,1,0,0,0,17.747032979952326
