single,pair_total,ultra,p1,p2,trail,edge,max_total,start,end,return_pct,multiple,mdd_pct,liquidated
0.8,1.0,2.0,1.5,2.25,0.12,0.035,2.5,2018-06-30 00:00:00+00:00,2020-06-29 00:00:00+00:00,-19.16439303908981,0.8083560696091019,-52.91773249246785,0
0.8,1.0,2.0,1.5,2.25,0.12,0.035,2.5,2018-12-27 00:00:00+00:00,2020-12-26 00:00:00+00:00,43.82476282868577,1.4382476282868577,-52.23153441463806,0
0.8,1.0,2.0,1.5,2.25,0.12,0.035,2.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,9513.373992071614,96.13373992071614,-50.11545966726156,0
0.8,1.0,2.0,1.5,2.25,0.12,0.035,2.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,9618.350187526867,97.18350187526866,-52.43317433014947,0
0.8,1.0,2.0,1.5,2.25,0.12,0.035,2.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,13956.66107991556,140.5666107991556,-54.723722962115964,0
0.8,1.0,2.0,1.5,2.25,0.12,0.035,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,1662.159799309639,17.62159799309639,-65.33644119737113,0
0.8,1.0,2.0,1.5,2.25,0.12,0.035,2.5,2021-06-14 00:00:00+00:00,2023-06-14 00:00:00+00:00,-24.66247440159899,0.7533752559840101,-65.33644119737139,0
0.8,1.0,2.0,1.5,2.25,0.12,0.035,2.5,2021-12-11 00:00:00+00:00,2023-12-11 00:00:00+00:00,-8.587815141582421,0.9141218485841758,-54.022355221488816,0
0.8,1.0,2.0,1.5,2.25,0.12,0.035,2.5,2022-06-09 00:00:00+00:00,2024-06-08 00:00:00+00:00,-10.006963121094303,0.899930368789057,-45.9985798432095,0
0.8,1.0,2.0,1.5,2.25,0.12,0.035,2.5,2022-12-06 00:00:00+00:00,2024-12-05 00:00:00+00:00,166.20146020975048,2.662014602097505,-46.78883669139512,0
0.8,1.0,2.0,1.5,2.25,0.12,0.035,2.5,2023-06-04 00:00:00+00:00,2025-06-03 00:00:00+00:00,151.63745324644938,2.5163745324644937,-46.78883669139494,0
0.8,1.0,2.0,1.5,2.25,0.12,0.035,2.5,2023-12-01 00:00:00+00:00,2025-11-30 00:00:00+00:00,79.25663842608937,1.7925663842608937,-55.12408609756285,0
0.8,1.0,2.0,1.5,2.25,0.12,0.035,2.5,2024-05-29 00:00:00+00:00,2026-05-29 00:00:00+00:00,35.13338305360541,1.351333830536054,-63.84200887920413,0
0.8,1.0,2.0,1.5,2.25,0.18,0.035,2.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,165.2372152322863,2.652372152322863,-46.65023844048191,0
0.8,1.0,2.0,1.5,2.25,0.18,0.035,2.5,2018-06-30 00:00:00+00:00,2020-06-29 00:00:00+00:00,-22.828175913251147,0.7717182408674885,-55.04663588214493,0
0.8,1.0,2.0,1.5,2.25,0.18,0.035,2.5,2018-12-27 00:00:00+00:00,2020-12-26 00:00:00+00:00,-3.042267191415904,0.969577328085841,-56.13902272454878,0
0.8,1.0,2.0,1.5,2.25,0.18,0.035,2.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,1567.171781080479,16.67171781080479,-55.97953017155275,0
0.8,1.0,2.0,1.5,2.25,0.18,0.035,2.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,2891.914253395574,29.919142533955743,-52.864144617398104,0
0.8,1.0,2.0,1.5,2.25,0.18,0.035,2.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,4053.8259258508774,41.53825925850877,-58.54811422088835,0
0.8,1.0,2.0,1.5,2.25,0.18,0.035,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,1635.2429957067643,17.352429957067642,-68.95127845661487,0
0.8,1.0,2.0,1.5,2.25,0.18,0.035,2.5,2021-06-14 00:00:00+00:00,2023-06-14 00:00:00+00:00,-11.68336161346275,0.8831663838653725,-68.95127845661504,0
0.8,1.0,2.0,1.5,2.25,0.18,0.035,2.5,2021-12-11 00:00:00+00:00,2023-12-11 00:00:00+00:00,-4.187835847375066,0.9581216415262493,-56.1182338177424,0
0.8,1.0,2.0,1.5,2.25,0.18,0.035,2.5,2022-06-09 00:00:00+00:00,2024-06-08 00:00:00+00:00,-13.166724385643036,0.8683327561435696,-46.388208311579994,0
0.8,1.0,2.0,1.5,2.25,0.18,0.035,2.5,2022-12-06 00:00:00+00:00,2024-12-05 00:00:00+00:00,205.66013748676414,3.0566013748676415,-51.75396871358784,0
0.8,1.0,2.0,1.5,2.25,0.18,0.035,2.5,2023-06-04 00:00:00+00:00,2025-06-03 00:00:00+00:00,87.35949120137671,1.8735949120137672,-51.75396871358766,0
0.8,1.0,2.0,1.5,2.25,0.18,0.035,2.5,2023-12-01 00:00:00+00:00,2025-11-30 00:00:00+00:00,46.63306118216353,1.4663306118216353,-55.679605038555394,0
0.8,1.0,2.0,1.5,2.25,0.18,0.035,2.5,2024-05-29 00:00:00+00:00,2026-05-29 00:00:00+00:00,47.78881921291733,1.4778881921291733,-64.28960865353964,0
1.0,1.2,1.5,1.25,1.75,0.12,0.035,2.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,182.92696601597643,2.829269660159764,-43.35551192827957,0
