assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,entry_n,exit_n,leverage,train_rank,train_median_return_pct,train_median_cagr_pct,train_median_mdd_pct,train_median_profit_factor,robust_oos
10,4,-25.379466736571587,-10.636354182285253,-78.26553994599283,0.9345584518463698,0.23938091570775788,457,0,140,100,1.5,1,6231.044942462926,105.54223670142159,-82.66475726915203,1.2821259052320197,False
10,5,-9.13389577272558,-5.3079682459256095,-76.62292564368882,0.955871929377363,0.26650177547664233,503,0,140,80,1.5,2,7273.384123387137,105.46619169127766,-81.88708475601405,1.2910948089098566,False
10,4,-20.35230373861035,-8.367791732886849,-75.9813902877901,0.9459332836766977,0.25002563045019854,457,0,140,100,1.4,3,5442.475251573715,100.95375301864294,-80.4410564297236,1.31198390410777,False
10,5,-5.238136542061289,-3.519144512167993,-74.02462141982525,0.9643684491289422,0.27030916416455475,503,0,140,80,1.4,4,6499.963129330639,100.50039073355279,-79.26431131671086,1.320429882233185,False
10,5,-1.792357221789576,-1.4802477911133094,-74.83503357951216,0.9887218888976039,0.33086840580160237,492,0,160,70,1.5,5,7047.000773718992,100.41896646450166,-75.82438469999106,1.3288330183986927,False
10,5,-2.147542656894485,-2.894823870851753,-76.35524624983526,0.9706424136122269,0.26876513939738567,533,0,140,70,1.5,6,8022.688481242012,99.15285947431843,-79.43323323053201,1.2997179503306517,False
10,4,-26.78716163212238,-11.395572657533336,-78.14069988146593,0.919331319063706,0.19975584482404,441,0,150,100,1.5,7,5047.6199743931165,96.0004120087948,-82.99386895620248,1.3041197288999882,False
10,4,-15.25882364509701,-6.209716297295798,-73.48848864361517,0.9584807519280429,0.26101285974476873,457,0,140,100,1.3,8,4678.213577907636,95.9106795086334,-78.04811268129691,1.3449180959341844,False
10,5,-1.7263611822057765,-0.5354560666040507,-76.33854356123597,0.9969017255058041,0.3735113114081138,421,0,160,100,1.5,9,5763.948641867817,95.7487072667133,-79.74467039450545,1.333453997496004,False
10,4,-14.251387358095247,-5.929278560636369,-77.4062062141309,0.9465564854102653,0.22849805417719682,486,0,150,80,1.5,10,5508.349448948987,95.72477309894937,-79.64110014071872,1.30826764414976,False
10,5,2.266611702048798,0.4003032815884042,-72.06757151891688,0.9992210810421602,0.33658890795822494,492,0,160,70,1.4,11,5952.778945191323,95.36120049312031,-72.99062701701388,1.3605251628376327,False
10,5,-1.6238362819138317,-1.7178989809637053,-71.25019420406907,0.9735673107198535,0.2738644322445864,503,0,140,80,1.3,12,5362.370789915426,95.15463356189788,-76.33771684789113,1.352727142901085,False
10,4,-31.58240556570313,-15.475556618622132,-81.3059675737701,0.904116159019448,0.19981860764491144,442,0,140,110,1.5,13,4479.229230492827,94.27921450422599,-83.9868856824358,1.2513000220455608,False
10,5,1.326414321529274,-1.7505626891515798,-73.86915924194722,0.9795356024928787,0.2660723555710237,533,0,140,70,1.4,14,6603.603112675098,94.1786901770441,-77.02319051555091,1.3275108072672008,False
10,4,-12.231057360205549,-5.177860896461289,-72.15814329556972,0.9652352590941584,0.2666407026699249,457,0,140,100,1.25,15,4309.9213410323,93.22399629716037,-76.77185484477585,1.3626875267315532,False
