assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,entry_n,exit_n,leverage,robust_train,total_return_pct,cagr_pct,mdd_pct,profit_factor,sharpe,win_rate_pct,trades,liquidations,final_equity_krw,symbol
10,9,1053.46753858636,52.4746325392343,-67.68485233878468,1.2985312118735401,1.125218212118324,1448,0,120,40,1.0,True,1081.7389816892594,47.87226246049103,-45.05799150313477,1.730664677732516,1.1570046678261627,43.03030303030303,165,0,118173898.16892596,BTCUSDT
10,9,1053.46753858636,52.4746325392343,-67.68485233878468,1.2985312118735401,1.125218212118324,1448,0,120,40,1.0,True,1630.173733246614,57.07700261797757,-57.77502075926311,1.3012341334160142,1.1149584265932653,37.72455089820359,167,0,173017373.3246614,ETHUSDT
10,9,1053.46753858636,52.4746325392343,-67.68485233878468,1.2985312118735401,1.125218212118324,1448,0,120,40,1.0,True,6277.54452920031,96.36713372872956,-65.47754124445643,1.5452093085545588,1.3400374976469533,44.642857142857146,168,0,637754452.920031,BNBUSDT
10,9,1053.46753858636,52.4746325392343,-67.68485233878468,1.2985312118735401,1.125218212118324,1448,0,120,40,1.0,True,280.9123126639732,25.868124862264775,-67.26551079157976,1.1892976466660814,0.6785395699163191,34.58646616541353,133,0,38091231.26639732,XRPUSDT
10,9,1053.46753858636,52.4746325392343,-67.68485233878468,1.2985312118735401,1.125218212118324,1448,0,120,40,1.0,True,729.9663619678859,43.618968357582276,-68.10419388598959,1.2839140512564442,0.8856633985041951,41.66666666666667,156,0,82996636.19678858,ADAUSDT
10,9,1053.46753858636,52.4746325392343,-67.68485233878468,1.2985312118735401,1.125218212118324,1448,0,120,40,1.0,True,13837.851800684632,168.81137269541136,-72.44617949510078,1.564279848888188,1.474010059321252,39.04761904761905,105,0,1393785180.068463,DOGEUSDT
10,9,1053.46753858636,52.4746325392343,-67.68485233878468,1.2985312118735401,1.125218212118324,1448,0,120,40,1.0,True,469.11051307849067,38.665020804700156,-71.12260289795759,1.16908846930139,0.8140265265314682,42.384105960264904,151,0,56911051.307849064,LINKUSDT
10,9,1053.46753858636,52.4746325392343,-67.68485233878468,1.2985312118735401,1.125218212118324,1448,0,120,40,1.0,True,-61.88436432346355,-14.654675953740092,-80.60207810854114,0.8429525048184356,0.011285993956082215,36.19631901840491,163,0,3811563.5676536453,LTCUSDT
10,9,1053.46753858636,52.4746325392343,-67.68485233878468,1.2985312118735401,1.125218212118324,1448,0,120,40,1.0,True,3202.999809322522,129.03884536014013,-52.88156913858899,1.6389385225067281,1.4123936387139973,44.62809917355372,121,0,330299980.9322522,SOLUSDT
10,9,1053.46753858636,52.4746325392343,-67.68485233878468,1.2985312118735401,1.125218212118324,1448,0,120,40,1.0,True,1025.1960954834606,79.44746023705453,-79.23688602097032,1.2958282903310663,1.135477997643383,38.655462184873954,119,0,112519609.54834604,AVAXUSDT
10,9,1419.5772991716215,56.59254480204227,-70.09501362306051,1.4850115904502306,1.050891187806771,1338,0,120,50,1.0,True,838.0602632014043,42.56099460923601,-46.84658349994263,1.5445517423162445,1.0414871766856282,38.46153846153847,156,0,93806026.32014042,BTCUSDT
10,9,1419.5772991716215,56.59254480204227,-70.09501362306051,1.4850115904502306,1.050891187806771,1338,0,120,50,1.0,True,1236.1055312701037,50.77607872266405,-62.17199130062204,1.2607757523873395,1.0183808742559894,37.57961783439491,157,0,133610553.12701038,ETHUSDT
10,9,1419.5772991716215,56.59254480204227,-70.09501362306051,1.4850115904502306,1.050891187806771,1338,0,120,50,1.0,True,9085.123147589225,108.35190027775936,-71.95348340680543,1.6334722210738104,1.4119874460946433,45.33333333333333,150,0,918512314.7589225,BNBUSDT
10,9,1419.5772991716215,56.59254480204227,-70.09501362306051,1.4850115904502306,1.050891187806771,1338,0,120,50,1.0,True,170.52236670526207,18.672272916215316,-69.93706119587584,1.1073954728959068,0.591209233117836,33.33333333333333,126,0,27052236.670526206,XRPUSDT
10,9,1419.5772991716215,56.59254480204227,-70.09501362306051,1.4850115904502306,1.050891187806771,1338,0,120,50,1.0,True,1603.0490670731392,62.40901088142048,-68.86329814492723,1.44752480459206,1.0602951989279137,42.857142857142854,140,0,170304906.70731393,ADAUSDT
10,9,1419.5772991716215,56.59254480204227,-70.09501362306051,1.4850115904502306,1.050891187806771,1338,0,120,50,1.0,True,16898.50605266655,179.7145685892374,-70.25296605024518,1.5538668465232994,1.4903940460658733,38.775510204081634,98,0,1699850605.2666552,DOGEUSDT
10,9,1419.5772991716215,56.59254480204227,-70.09501362306051,1.4850115904502306,1.050891187806771,1338,0,120,50,1.0,True,636.4416435326168,45.54941962453083,-74.87572159825997,1.1975460644587088,0.8762806172367561,38.68613138686132,137,0,73644164.35326168,LINKUSDT
10,9,1419.5772991716215,56.59254480204227,-70.09501362306051,1.4850115904502306,1.050891187806771,1338,0,120,50,1.0,True,-79.63505709074227,-23.00599644269544,-83.1561297793293,0.7048896283196183,-0.13735067225697561,35.714285714285715,154,0,2036494.2909257729,LTCUSDT
10,9,1419.5772991716215,56.59254480204227,-70.09501362306051,1.4850115904502306,1.050891187806771,1338,0,120,50,1.0,True,2811.5193203839863,122.29351161956035,-51.15647817805713,1.5224983763084012,1.3626405679214826,44.73684210526316,114,0,291151932.0383986,SOLUSDT
10,9,1419.5772991716215,56.59254480204227,-70.09501362306051,1.4850115904502306,1.050891187806771,1338,0,120,50,1.0,True,2965.5839923700187,128.6050656184454,-73.12239563453277,1.5728870439127578,1.4144386082034515,36.79245283018868,106,0,306558399.2370019,AVAXUSDT
10,9,1646.4445170672516,58.843814833277904,-68.6153264137411,1.4819098544362783,1.1518924706484515,1239,0,120,60,1.0,True,1441.3971045472726,54.228590717517775,-46.16713957872457,1.7246342336450429,1.1959527370625638,39.16083916083916,143,0,154139710.45472726,BTCUSDT
10,9,1646.4445170672516,58.843814833277904,-68.6153264137411,1.4819098544362783,1.1518924706484515,1239,0,120,60,1.0,True,1851.4919295872303,60.10070904585487,-63.09571315701417,1.288766898220457,1.1078322042343391,39.58333333333333,144,0,195149192.95872304,ETHUSDT
