assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,entry_n,exit_n,leverage,robust_train
10,9,6231.044942462926,105.54223670142159,-82.66475726915203,1.2821259052320197,1.2590952334706786,925,0,140,100,1.5,True
10,9,7273.384123387137,105.46619169127766,-81.88708475601405,1.2910948089098566,1.2298082833762765,1001,0,140,80,1.5,True
10,9,5442.475251573715,100.95375301864294,-80.4410564297236,1.31198390410777,1.2513444276736565,925,0,140,100,1.4,True
10,9,6499.963129330639,100.50039073355279,-79.26431131671086,1.320429882233185,1.221780820119624,1001,0,140,80,1.4,True
10,10,7047.000773718992,100.41896646450166,-75.82438469999106,1.3288330183986927,1.217569923417782,983,0,160,70,1.5,True
10,9,8022.688481242012,99.15285947431843,-79.43323323053201,1.2997179503306517,1.2391772603353135,1048,0,140,70,1.5,True
10,8,5047.6199743931165,96.0004120087948,-82.99386895620248,1.3041197288999882,1.1894955008968415,899,0,150,100,1.5,True
10,9,4678.213577907636,95.9106795086334,-78.04811268129691,1.3449180959341844,1.242993237313224,925,0,140,100,1.3,True
10,8,5763.948641867817,95.7487072667133,-79.74467039450545,1.333453997496004,1.2175098980837527,869,0,160,100,1.5,True
10,9,5508.349448948987,95.72477309894937,-79.64110014071872,1.30826764414976,1.1662777957706103,973,0,150,80,1.5,True
10,10,5952.778945191323,95.36120049312031,-72.99062701701388,1.3605251628376327,1.2106052943753522,983,0,160,70,1.4,True
10,9,5362.370789915426,95.15463356189788,-76.33771684789113,1.352727142901085,1.2131485778582158,1001,0,140,80,1.3,True
10,8,4479.229230492827,94.27921450422599,-83.9868856824358,1.2513000220455608,1.1883189228057653,890,0,140,110,1.5,True
10,9,6603.603112675098,94.1786901770441,-77.02319051555091,1.3275108072672008,1.2314260079758115,1048,0,140,70,1.4,True
10,9,4309.9213410323,93.22399629716037,-76.77185484477585,1.3626875267315532,1.2385532311674612,925,0,140,100,1.25,True
10,9,4458.196950026273,93.08975390376078,-80.65236975795708,1.331453613804539,1.1829543220544014,899,0,150,100,1.4,True
10,9,5028.413192644085,92.62444390792888,-77.12791962330446,1.3654055071329516,1.2116319560886102,869,0,160,100,1.4,True
10,9,4039.5475929279123,92.47208357032547,-82.14296595997577,1.2797269127008737,1.183787183939795,890,0,140,110,1.4,True
10,9,4849.02966653884,92.34385315795535,-74.92396965731751,1.3701288735298602,1.2085753655696994,1001,0,140,80,1.25,True
10,9,4951.666830108764,92.26638364954368,-76.92989700478908,1.3377981946341686,1.15938300511832,973,0,150,80,1.4,True
10,9,3953.0997229989266,90.43037720349761,-75.42681565826345,1.381419549094153,1.2339123212976084,925,0,140,100,1.2,True
10,10,4964.36160801481,89.99328791158113,-69.89362189001329,1.3954894118319174,1.2031069009085666,983,0,160,70,1.3,True
10,9,3584.8860394829185,89.98642286395253,-79.94414721300652,1.3112608802534873,1.1786171320704486,890,0,140,110,1.3,True
10,9,3875.8365469665127,89.65667308578153,-78.03417239437093,1.3646859549246533,1.1758934726274712,899,0,150,100,1.3,True
10,9,3545.388138006805,89.61094209864294,-84.35735900105703,1.2888438390999482,1.1487751187021997,967,0,130,100,1.5,True
10,9,4370.997214105437,89.4438034786427,-73.44770450619482,1.3884553273589488,1.2038116255659128,1001,0,140,80,1.2,True
10,9,4318.601763113747,88.9455440165481,-74.23983674123483,1.4004854897471768,1.2052169315991033,869,0,160,100,1.3,True
