assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,entry_n,exit_n,leverage,train_rank,train_median_return_pct,train_median_cagr_pct,train_median_mdd_pct,train_median_profit_factor,robust_oos,total_return_pct,cagr_pct,mdd_pct,profit_factor,sharpe,win_rate_pct,trades,liquidations,final_equity_krw,symbol
10,4,-25.379466736571587,-10.636354182285253,-78.26553994599283,0.9345584518463698,0.23938091570775788,457,0,140,100,1.5,1,6231.044942462926,105.54223670142159,-82.66475726915203,1.2821259052320197,False,181.31078530709902,45.989672476985135,-39.54946151137732,1.743409632690661,1.075616339682133,38.297872340425535,47,0,28131078.530709904,BTCUSDT
10,4,-25.379466736571587,-10.636354182285253,-78.26553994599283,0.9345584518463698,0.23938091570775788,457,0,140,100,1.5,1,6231.044942462926,105.54223670142159,-82.66475726915203,1.2821259052320197,False,79.1076850559469,23.764097425814867,-54.03243608503225,1.2491464170571673,0.6563909973203985,36.0,50,0,17910768.50559469,ETHUSDT
10,4,-25.379466736571587,-10.636354182285253,-78.26553994599283,0.9345584518463698,0.23938091570775788,457,0,140,100,1.5,1,6231.044942462926,105.54223670142159,-82.66475726915203,1.2821259052320197,False,-27.540561801176555,-11.376702050498134,-72.65512750075935,0.8965596510188978,0.04393648310223387,33.92857142857143,56,0,7245943.819882344,BNBUSDT
10,4,-25.379466736571587,-10.636354182285253,-78.26553994599283,0.9345584518463698,0.23938091570775788,457,0,140,100,1.5,1,6231.044942462926,105.54223670142159,-82.66475726915203,1.2821259052320197,False,73.34552203525226,24.382373049739293,-75.68933265417638,1.1498526201639725,0.670342416106441,22.916666666666664,48,0,17334552.203525227,XRPUSDT
10,4,-25.379466736571587,-10.636354182285253,-78.26553994599283,0.9345584518463698,0.23938091570775788,457,0,140,100,1.5,1,6231.044942462926,105.54223670142159,-82.66475726915203,1.2821259052320197,False,-23.21837167196662,-9.89600631407237,-86.61601829133589,0.9458274082199228,0.2792705262546068,35.41666666666667,48,0,7678162.832803338,ADAUSDT
10,4,-25.379466736571587,-10.636354182285253,-78.26553994599283,0.9345584518463698,0.23938091570775788,457,0,140,100,1.5,1,6231.044942462926,105.54223670142159,-82.66475726915203,1.2821259052320197,False,-31.916407285495364,-16.221914366334623,-88.84979751394765,0.9232894954728167,0.199491305160909,39.02439024390244,41,0,6808359.271450464,DOGEUSDT
10,4,-25.379466736571587,-10.636354182285253,-78.26553994599283,0.9345584518463698,0.23938091570775788,457,0,140,100,1.5,1,6231.044942462926,105.54223670142159,-82.66475726915203,1.2821259052320197,False,-36.536081273770115,-17.860586900223176,-80.84174723780929,0.8764307350783287,0.16025808245468198,34.04255319148936,47,0,6346391.872622988,LINKUSDT
10,4,-25.379466736571587,-10.636354182285253,-78.26553994599283,0.9345584518463698,0.23938091570775788,457,0,140,100,1.5,1,6231.044942462926,105.54223670142159,-82.66475726915203,1.2821259052320197,False,-78.19880483330728,-43.87786085223243,-88.62653954832001,0.6603039314528197,-0.40416809087787847,27.27272727272727,55,0,2180119.5166692724,LTCUSDT
10,4,-25.379466736571587,-10.636354182285253,-78.26553994599283,0.9345584518463698,0.23938091570775788,457,0,140,100,1.5,1,6231.044942462926,105.54223670142159,-82.66475726915203,1.2821259052320197,False,42.71297770681144,21.299696659193714,-64.37482034590339,1.1573856472412238,0.6273903660841285,43.333333333333336,30,0,14271297.770681143,SOLUSDT
10,4,-25.379466736571587,-10.636354182285253,-78.26553994599283,0.9345584518463698,0.23938091570775788,457,0,140,100,1.5,1,6231.044942462926,105.54223670142159,-82.66475726915203,1.2821259052320197,False,-75.4981790557528,-54.07289214367024,-93.46090934726881,0.720621775201176,-0.6495611262775329,28.57142857142857,35,0,2450182.0944247204,AVAXUSDT
10,5,-9.13389577272558,-5.3079682459256095,-76.62292564368882,0.955871929377363,0.26650177547664233,503,0,140,80,1.5,2,7273.384123387137,105.46619169127766,-81.88708475601405,1.2910948089098566,False,140.52850673835528,37.86023165038108,-42.17544046716184,1.497509544050734,0.9727218368500822,35.18518518518518,54,0,24052850.673835527,BTCUSDT
10,5,-9.13389577272558,-5.3079682459256095,-76.62292564368882,0.955871929377363,0.26650177547664233,503,0,140,80,1.5,2,7273.384123387137,105.46619169127766,-81.88708475601405,1.2910948089098566,False,85.32319468214385,25.31831062632266,-61.51711237181261,1.2009243123366682,0.6887674954008264,40.74074074074074,54,0,18532319.468214385,ETHUSDT
10,5,-9.13389577272558,-5.3079682459256095,-76.62292564368882,0.955871929377363,0.26650177547664233,503,0,140,80,1.5,2,7273.384123387137,105.46619169127766,-81.88708475601405,1.2910948089098566,False,-29.97871388922937,-12.50668245605453,-69.98915707852656,0.8852832750753887,0.00014041502272092932,34.92063492063492,63,0,7002128.611077063,BNBUSDT
10,5,-9.13389577272558,-5.3079682459256095,-76.62292564368882,0.955871929377363,0.26650177547664233,503,0,140,80,1.5,2,7273.384123387137,105.46619169127766,-81.88708475601405,1.2910948089098566,False,64.08122434483565,21.702034179963746,-74.35797305569307,1.1286421200856998,0.6353213720585014,24.074074074074073,54,0,16408122.434483565,XRPUSDT
10,5,-9.13389577272558,-5.3079682459256095,-76.62292564368882,0.955871929377363,0.26650177547664233,503,0,140,80,1.5,2,7273.384123387137,105.46619169127766,-81.88708475601405,1.2910948089098566,False,30.875270399448375,11.196241095107617,-76.72779606548956,1.076639954087246,0.5283286599818787,39.21568627450981,51,0,13087527.039944837,ADAUSDT
10,5,-9.13389577272558,-5.3079682459256095,-76.62292564368882,0.955871929377363,0.26650177547664233,503,0,140,80,1.5,2,7273.384123387137,105.46619169127766,-81.88708475601405,1.2910948089098566,False,4.152170315894788,1.8907459642033109,-85.01361251623543,1.0076113742408217,0.4116271692127283,40.909090909090914,44,0,10415217.031589478,DOGEUSDT
10,5,-9.13389577272558,-5.3079682459256095,-76.62292564368882,0.955871929377363,0.26650177547664233,503,0,140,80,1.5,2,7273.384123387137,105.46619169127766,-81.88708475601405,1.2910948089098566,False,-38.49946852915813,-18.969974565996374,-77.99476709839577,0.8669225518878372,0.10059627194805666,35.294117647058826,51,0,6150053.147084187,LINKUSDT
10,5,-9.13389577272558,-5.3079682459256095,-76.62292564368882,0.955871929377363,0.26650177547664233,503,0,140,80,1.5,2,7273.384123387137,105.46619169127766,-81.88708475601405,1.2910948089098566,False,-81.89889986178929,-47.699953890563975,-89.23103148835901,0.6280880977305457,-0.5332961055290154,30.0,60,0,1810110.0138210717,LTCUSDT
10,5,-9.13389577272558,-5.3079682459256095,-76.62292564368882,0.955871929377363,0.26650177547664233,503,0,140,80,1.5,2,7273.384123387137,105.46619169127766,-81.88708475601405,1.2910948089098566,False,-22.41996186134595,-12.87471744053914,-76.51805522188808,0.9041324845139043,0.1213763817405564,38.88888888888889,36,0,7758003.8138654055,SOLUSDT
10,5,-9.13389577272558,-5.3079682459256095,-76.62292564368882,0.955871929377363,0.26650177547664233,503,0,140,80,1.5,2,7273.384123387137,105.46619169127766,-81.88708475601405,1.2910948089098566,False,-54.277086898929795,-35.14158194179245,-87.79738557574235,0.8332473350736447,-0.22728471720714136,30.555555555555557,36,0,4572291.310107021,AVAXUSDT
10,4,-20.35230373861035,-8.367791732886849,-75.9813902877901,0.9459332836766977,0.25002563045019854,457,0,140,100,1.4,3,5442.475251573715,100.95375301864294,-80.4410564297236,1.31198390410777,False,168.37713829937124,43.49752869786747,-37.64262154637464,1.7628158916016068,1.0763014352499682,38.297872340425535,47,0,26837713.829937123,BTCUSDT
10,4,-20.35230373861035,-8.367791732886849,-75.9813902877901,0.9459332836766977,0.25002563045019854,457,0,140,100,1.4,3,5442.475251573715,100.95375301864294,-80.4410564297236,1.31198390410777,False,78.58764213470207,23.63251756421323,-51.571981556012325,1.2652405808487939,0.6602820921042944,36.0,50,0,17858764.213470206,ETHUSDT
10,4,-20.35230373861035,-8.367791732886849,-75.9813902877901,0.9459332836766977,0.25002563045019854,457,0,140,100,1.4,3,5442.475251573715,100.95375301864294,-80.4410564297236,1.31198390410777,False,-24.485329930815535,-9.993791284179455,-70.05967080871527,0.9014288643398328,0.04334088067273888,33.92857142857143,56,0,7551467.006918446,BNBUSDT
10,4,-20.35230373861035,-8.367791732886849,-75.9813902877901,0.9459332836766977,0.25002563045019854,457,0,140,100,1.4,3,5442.475251573715,100.95375301864294,-80.4410564297236,1.31198390410777,False,82.15060731199905,26.85086242538968,-73.38088909686975,1.176942957507925,0.6912783819085844,22.916666666666664,48,0,18215060.731199905,XRPUSDT
10,4,-20.35230373861035,-8.367791732886849,-75.9813902877901,0.9459332836766977,0.25002563045019854,457,0,140,100,1.4,3,5442.475251573715,100.95375301864294,-80.4410564297236,1.31198390410777,False,-16.219277546405163,-6.741792181594242,-84.49396989599246,0.9603086231926661,0.2938278233423146,35.41666666666667,48,0,8378072.245359483,ADAUSDT
10,4,-20.35230373861035,-8.367791732886849,-75.9813902877901,0.9459332836766977,0.25002563045019854,457,0,140,100,1.4,3,5442.475251573715,100.95375301864294,-80.4410564297236,1.31198390410777,False,-26.578749174384807,-13.259387663885413,-86.92637831104231,0.9315579441607293,0.20622343755808245,39.02439024390244,41,0,7342125.082561519,DOGEUSDT
10,4,-20.35230373861035,-8.367791732886849,-75.9813902877901,0.9459332836766977,0.25002563045019854,457,0,140,100,1.4,3,5442.475251573715,100.95375301864294,-80.4410564297236,1.31198390410777,False,-31.915465134033628,-15.324345225849079,-78.58189147871046,0.8860174864891295,0.16080279914836765,34.04255319148936,47,0,6808453.486596637,LINKUSDT
10,4,-20.35230373861035,-8.367791732886849,-75.9813902877901,0.9459332836766977,0.25002563045019854,457,0,140,100,1.4,3,5442.475251573715,100.95375301864294,-80.4410564297236,1.31198390410777,False,-74.90708518420779,-40.803792463976244,-86.68143342048589,0.6643634643109004,-0.3998886877429805,27.27272727272727,55,0,2509291.4815792204,LTCUSDT
10,4,-20.35230373861035,-8.367791732886849,-75.9813902877901,0.9459332836766977,0.25002563045019854,457,0,140,100,1.4,3,5442.475251573715,100.95375301864294,-80.4410564297236,1.31198390410777,False,42.35126050073617,21.132685756264145,-61.65372188977511,1.1713665124999018,0.6211429336273772,43.333333333333336,30,0,14235126.050073616,SOLUSDT
10,4,-20.35230373861035,-8.367791732886849,-75.9813902877901,0.9459332836766977,0.25002563045019854,457,0,140,100,1.4,3,5442.475251573715,100.95375301864294,-80.4410564297236,1.31198390410777,False,-72.05976086252797,-50.61189367539749,-92.04908557410944,0.7199813178970267,-0.6351076002931457,28.57142857142857,35,0,2794023.9137472026,AVAXUSDT
10,5,-5.238136542061289,-3.519144512167993,-74.02462141982525,0.9643684491289422,0.27030916416455475,503,0,140,80,1.4,4,6499.963129330639,100.50039073355279,-79.26431131671086,1.320429882233185,False,132.03391386231846,36.05880901548322,-39.96575154352403,1.516667488421386,0.9761102153618182,35.18518518518518,54,0,23203391.386231847,BTCUSDT
10,5,-5.238136542061289,-3.519144512167993,-74.02462141982525,0.9643684491289422,0.27030916416455475,503,0,140,80,1.4,4,6499.963129330639,100.50039073355279,-79.26431131671086,1.320429882233185,False,85.08498630068794,25.25936000696083,-58.93246032152457,1.2171256265806423,0.698901202270507,40.74074074074074,54,0,18508498.630068794,ETHUSDT
10,5,-5.238136542061289,-3.519144512167993,-74.02462141982525,0.9643684491289422,0.27030916416455475,503,0,140,80,1.4,4,6499.963129330639,100.50039073355279,-79.26431131671086,1.320429882233185,False,-26.97666256367013,-11.118754898167381,-67.36301831737686,0.8895459707782476,-0.0005434819297945343,34.92063492063492,63,0,7302333.743632987,BNBUSDT
10,5,-5.238136542061289,-3.519144512167993,-74.02462141982525,0.9643684491289422,0.27030916416455475,503,0,140,80,1.4,4,6499.963129330639,100.50039073355279,-79.26431131671086,1.320429882233185,False,74.26256182871447,24.642942373382425,-71.60379549721357,1.1556611511807882,0.6641843235336857,24.074074074074073,54,0,17426256.182871446,XRPUSDT
10,5,-5.238136542061289,-3.519144512167993,-74.02462141982525,0.9643684491289422,0.27030916416455475,503,0,140,80,1.4,4,6499.963129330639,100.50039073355279,-79.26431131671086,1.320429882233185,False,35.77134335801999,12.818726670432046,-74.09876913113823,1.0946156291952593,0.5331822367911712,39.21568627450981,51,0,13577134.335802,ADAUSDT
10,5,-5.238136542061289,-3.519144512167993,-74.02462141982525,0.9643684491289422,0.27030916416455475,503,0,140,80,1.4,4,6499.963129330639,100.50039073355279,-79.26431131671086,1.320429882233185,False,8.941067386304645,4.021602776471189,-82.82002613389466,1.0178413846365313,0.41890529267987303,40.909090909090914,44,0,10894106.738630464,DOGEUSDT
