assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,entry_n,exit_n,leverage,robust_train
10,9,2667.3690623050124,79.06362607899416,-69.28055256872615,1.4677866810633753,1.2128695476214228,925,0,140,100,1.0,True
10,9,2434.5965691492497,78.44460005031863,-70.97385454967983,1.4302613864890081,1.1577619665193164,890,0,140,110,1.0,True
10,9,2785.6633075202544,76.99524316758126,-66.72713852562038,1.4726953030661174,1.1824838948059684,1001,0,140,80,1.0,True
10,9,2383.9194611774947,76.25744662718131,-68.22635646057935,1.487732631893176,1.150177051834898,899,0,150,100,1.0,True
10,9,2464.189144260504,74.70747037389103,-64.35837127876601,1.5304512537202222,1.1814354410361814,869,0,160,100,1.0,True
10,9,2320.898726575573,73.73945918025882,-70.934861932806,1.446482479399611,1.1344742278426372,865,0,150,110,1.0,True
10,10,2635.4950623303566,72.17796694939021,-58.87162220099385,1.526038241938576,1.1763098571631447,983,0,160,70,1.0,True
10,9,1955.5232385991874,72.0464850945155,-68.92004366941373,1.4723594010599994,1.126167791974051,967,0,130,100,1.0,True
10,9,1929.2269561139965,71.64128339810506,-70.43004626268834,1.4303317227788455,1.080528275841659,1009,0,120,100,1.0,True
10,10,2344.982489678959,71.5948956384491,-63.769809606401296,1.4893797743348725,1.125270395111993,973,0,150,80,1.0,True
10,9,2682.0800493504807,71.40960524846002,-64.773779437891,1.4751354980827203,1.192633303913546,1048,0,140,70,1.0,True
10,9,2202.7337621797615,71.35927279237646,-73.16445593559112,1.429692496527414,1.105030966858039,931,0,130,110,1.0,True
10,9,2268.541801647101,71.14302903642793,-74.52771890628675,1.3824870577745183,1.1385581242744118,845,0,140,120,1.0,True
10,10,1943.9569456920824,70.8120396842254,-70.68985958327363,1.4019942194153683,1.131887295095146,823,0,150,120,1.0,True
10,9,2417.1843049159943,70.54763358821049,-65.90596307377285,1.5066172907635678,1.1529118838878443,967,0,140,90,1.0,True
10,9,2509.8045681698595,70.23100166089661,-74.40638873185736,1.3624836325545768,1.1001752308353412,881,0,130,120,1.0,True
10,9,2453.255457222309,70.12458642636825,-64.0300868851257,1.5644202547345913,1.1502484918453093,908,0,160,90,1.0,True
10,10,2487.721301658142,69.97557994648218,-58.24793830676427,1.5302708425742688,1.1525675298948754,940,0,160,80,1.0,True
10,10,2509.35497452414,69.29059861258297,-60.13241410436649,1.4961631470073167,1.1194725750135992,952,0,170,70,1.0,True
10,10,2423.3397485569394,69.24546209174409,-61.54102892074962,1.478042832200217,1.1373159569335543,1018,0,150,70,1.0,True
10,9,1911.1026357308765,69.19491891420998,-70.84436646531589,1.3928992120984538,1.0565037887833952,970,0,120,110,1.0,True
10,9,2368.0015715384925,69.08175076262305,-68.34010130053099,1.4855875099227054,1.1605216785467625,836,0,160,110,1.0,True
10,9,2323.7870664187967,68.86405653544068,-66.79690924260018,1.508808865488009,1.1413336691218043,842,0,170,100,1.0,True
10,9,2376.8274064568704,67.78569872331688,-62.81659060618866,1.53398956858147,1.1063100703966828,880,0,170,90,1.0,True
10,10,2454.6846246806704,67.77654429060374,-58.75339883401611,1.5031981810536035,1.1075311817434104,911,0,170,80,1.0,True
10,9,2428.2205506885366,67.71043481517133,-68.84161717474741,1.4694049377025993,1.1416370326121734,809,0,170,110,1.0,True
10,9,2275.491614262204,67.67613914081048,-67.09033985246465,1.5232465536601205,1.11237861233134,940,0,150,90,1.0,True
10,9,2194.5902875231213,67.47249458247869,-63.79944816413689,1.47529939638844,1.2070147945379894,1098,0,130,70,1.0,True
10,9,2039.1616469659393,66.93010924886642,-69.72805271984132,1.4751658412842326,1.1526762449484211,1049,0,130,80,1.0,True
10,10,2130.485661048425,66.57495102417741,-57.99750805662345,1.4891498503300875,1.0791429070958007,889,0,180,80,1.0,True
10,10,2059.785402336498,66.4317302664976,-58.51218925497042,1.4894309533917056,1.0848158889957953,930,0,180,70,1.0,True
10,10,2279.899243073197,66.09124635600267,-69.62213904006305,1.4165476279295677,1.1537115050373097,796,0,160,120,1.0,True
10,9,1989.3856074240798,65.82109135431416,-65.73869906868862,1.4278297847128403,1.2044892737595854,1129,0,140,60,1.0,True
10,10,2061.7610156800583,65.79799868474171,-65.23769385294881,1.4998632941461925,1.0954930588826088,822,0,180,100,1.0,True
10,10,2174.313086959029,65.61893664200754,-69.51856325270097,1.417315208810551,1.1263519520885845,770,0,170,120,1.0,True
10,9,1980.8375983842238,64.89608588298347,-63.99377375831674,1.452707959744222,1.1755556598520747,1149,0,120,70,1.0,True
10,10,1954.7957037027998,64.60377828116907,-70.10173151153963,1.4338358998562022,1.1429650834519793,752,0,180,120,1.0,True
10,9,1798.6574031358064,64.33101671140565,-69.3011166699157,1.4503549423737878,1.1435822477620556,1097,0,120,80,1.0,True
10,9,2084.340647727469,64.06803413830632,-66.60501255070469,1.4521574284375474,1.2133950581538893,1181,0,130,60,1.0,True
10,10,1973.1793130886508,63.833066845969086,-61.97794494767311,1.5165848203571375,1.057661461550906,860,0,180,90,1.0,True
