symbol,start,end,turbo_exposure,ultra_threshold,brake_dd,return_pct,multiple,mdd_pct,liquidated,max_exposure_seen
BNBUSDT,2018-05-06 00:00:00+00:00,2020-05-05 00:00:00+00:00,1.5,1.15,0.1,85.9303352293774,1.859303352293774,-14.256703960116624,0,1.5
BNBUSDT,2018-11-02 00:00:00+00:00,2020-11-01 00:00:00+00:00,1.5,1.15,0.1,79.60384448821193,1.7960384448821194,-18.423832701062626,0,1.5
BNBUSDT,2019-05-01 00:00:00+00:00,2021-04-30 00:00:00+00:00,1.5,1.15,0.1,120.33934384577165,2.2033934384577165,-20.16139240297583,0,1.5
BNBUSDT,2019-10-28 00:00:00+00:00,2021-10-27 00:00:00+00:00,1.5,1.15,0.1,105.36573040386305,2.0536573040386306,-20.16139240297583,0,1.5
BNBUSDT,2020-04-25 00:00:00+00:00,2022-04-25 00:00:00+00:00,1.5,1.15,0.1,-14.35093009229902,0.8564906990770098,-19.989553413792606,0,1.5
BNBUSDT,2020-10-22 00:00:00+00:00,2022-10-22 00:00:00+00:00,1.5,1.15,0.1,160.13369707023682,2.601336970702368,-20.161392402975853,0,1.5
BNBUSDT,2021-04-20 00:00:00+00:00,2023-04-20 00:00:00+00:00,1.5,1.15,0.1,-20.136373229576453,0.7986362677042355,-20.136373229576453,0,1.5
BNBUSDT,2021-10-17 00:00:00+00:00,2023-10-17 00:00:00+00:00,1.5,1.15,0.1,5.860322090111292,1.058603220901113,-20.365122438741423,0,1.5
BNBUSDT,2022-04-15 00:00:00+00:00,2024-04-14 00:00:00+00:00,1.5,1.15,0.1,-18.098661032957175,0.8190133896704282,-20.602137780276898,0,1.5
BNBUSDT,2022-10-12 00:00:00+00:00,2024-10-11 00:00:00+00:00,1.5,1.15,0.1,18.607688762272588,1.186076887622726,-19.850336480254793,0,1.5
BNBUSDT,2023-04-10 00:00:00+00:00,2025-04-09 00:00:00+00:00,1.5,1.15,0.1,9.606139898285914,1.0960613989828591,-19.90657207365878,0,1.5
BNBUSDT,2023-10-07 00:00:00+00:00,2025-10-06 00:00:00+00:00,1.5,1.15,0.1,9.235161266129467,1.0923516126612947,-20.0907966312717,0,1.5
BNBUSDT,2024-04-04 00:00:00+00:00,2026-04-04 00:00:00+00:00,1.5,1.15,0.1,-9.405047437955416,0.9059495256204458,-19.069238796441855,0,1.5
XRPUSDT,2018-05-05 00:00:00+00:00,2020-05-04 00:00:00+00:00,1.5,1.15,0.1,38.6984056942522,1.386984056942522,-25.96341634884185,0,1.5
XRPUSDT,2018-11-01 00:00:00+00:00,2020-10-31 00:00:00+00:00,1.5,1.15,0.1,-9.617806364611404,0.903821936353886,-20.026763181653873,0,1.5
XRPUSDT,2019-04-30 00:00:00+00:00,2021-04-29 00:00:00+00:00,1.5,1.15,0.1,2.476441372343685,1.0247644137234369,-20.07696145399467,0,1.5
XRPUSDT,2019-10-27 00:00:00+00:00,2021-10-26 00:00:00+00:00,1.5,1.15,0.1,142.93108697032224,2.4293108697032224,-20.30426754085437,0,1.5
XRPUSDT,2020-04-24 00:00:00+00:00,2022-04-24 00:00:00+00:00,1.5,1.15,0.1,133.94564329147892,2.339456432914789,-20.30426754085437,0,1.5
XRPUSDT,2020-10-21 00:00:00+00:00,2022-10-21 00:00:00+00:00,1.5,1.15,0.1,127.61482685882899,2.27614826858829,-20.304267540854394,0,1.5
XRPUSDT,2021-04-19 00:00:00+00:00,2023-04-19 00:00:00+00:00,1.5,1.15,0.1,-15.561820651159476,0.8443817934884053,-20.249349531253657,0,0.75
XRPUSDT,2021-10-16 00:00:00+00:00,2023-10-16 00:00:00+00:00,1.5,1.15,0.1,-19.119635345446884,0.8088036465455312,-20.413099741104222,0,1.5
XRPUSDT,2022-04-14 00:00:00+00:00,2024-04-13 00:00:00+00:00,1.5,1.15,0.1,-9.287162039852237,0.9071283796014776,-20.092599432077296,0,1.5
XRPUSDT,2022-10-11 00:00:00+00:00,2024-10-10 00:00:00+00:00,1.5,1.15,0.1,-19.959974838876903,0.800400251611231,-20.091293333025295,0,1.5
XRPUSDT,2023-04-09 00:00:00+00:00,2025-04-08 00:00:00+00:00,1.5,1.15,0.1,0.07827125916184396,1.0007827125916184,-20.19441458699518,0,1.5
XRPUSDT,2023-10-06 00:00:00+00:00,2025-10-05 00:00:00+00:00,1.5,1.15,0.1,-2.85079866195187,0.9714920133804813,-20.19441458699518,0,1.5
XRPUSDT,2024-04-03 00:00:00+00:00,2026-04-03 00:00:00+00:00,1.5,1.15,0.1,86.2223569679267,1.862223569679267,-19.93638036176276,0,1.5
ADAUSDT,2018-04-18 00:00:00+00:00,2020-04-17 00:00:00+00:00,1.5,1.15,0.1,-18.712527160319283,0.8128747283968072,-20.140662255727438,0,1.5
ADAUSDT,2018-10-15 00:00:00+00:00,2020-10-14 00:00:00+00:00,1.5,1.15,0.1,-13.27591048157034,0.8672408951842966,-20.215198314907923,0,1.5
ADAUSDT,2019-04-13 00:00:00+00:00,2021-04-12 00:00:00+00:00,1.5,1.15,0.1,6.423100518693037,1.0642310051869304,-19.91695370538177,0,1.5
ADAUSDT,2019-10-10 00:00:00+00:00,2021-10-09 00:00:00+00:00,1.5,1.15,0.1,7.8073047123337735,1.0780730471233377,-20.198346175593695,0,1.5
ADAUSDT,2020-04-07 00:00:00+00:00,2022-04-07 00:00:00+00:00,1.5,1.15,0.1,13.250597821737898,1.132505978217379,-20.198346175593606,0,1.5
ADAUSDT,2020-10-04 00:00:00+00:00,2022-10-04 00:00:00+00:00,1.5,1.15,0.1,-2.3649122332207506,0.9763508776677925,-20.141795284870145,0,1.5
ADAUSDT,2021-04-02 00:00:00+00:00,2023-04-02 00:00:00+00:00,1.5,1.15,0.1,-8.821303044588047,0.9117869695541195,-20.228977349556978,0,1.5
ADAUSDT,2021-09-29 00:00:00+00:00,2023-09-29 00:00:00+00:00,1.5,1.15,0.1,-18.476574901361086,0.8152342509863891,-19.98566838411885,0,1.5
