turbo,pyr1,pyr2,dd,brake,windows,median_return_pct,best_return_pct,worst_return_pct,median_mdd_pct,worst_mdd_pct,profitable_rate_pct,windows_10x_plus,windows_100x_plus,windows_500x_plus,liquidations,score
1.5,1.25,2.0,0.1,0.5,14,214.44522549911616,1318.2034623216841,-33.1268753777603,-59.75370576046918,-77.41091316055582,78.57142857142857,3,0,0,0,166.25758628672708
1.5,1.0,1.5,0.1,0.5,14,198.17467377421144,1312.4332270519897,-15.51267260541418,-51.58640812755683,-64.30989245554582,78.57142857142857,3,0,0,0,159.15774905532936
2.0,1.25,2.0,0.1,0.5,14,197.72752113321616,1377.4301488981916,-33.02163046191027,-63.22435463355387,-77.41091316055582,78.57142857142857,2,0,0,0,147.5398819208271
2.0,1.0,1.5,0.1,0.5,14,141.39106123179846,917.1082239436048,-32.85605471381453,-56.474047109235684,-68.68710346951275,78.57142857142857,1,0,0,0,95.31008880313954
2.5,1.25,2.0,0.1,0.5,14,115.31327704175243,980.1308831992252,-54.05423338029962,-68.9638611394165,-80.55397998902252,78.57142857142857,1,0,0,0,60.925491049436665
2.5,1.0,1.5,0.1,0.5,14,75.62185661543859,903.21638872374,-53.38641998786697,-61.8103480408113,-78.14512102450794,64.28571428571429,1,0,0,0,22.920271898283033
2.0,1.25,2.0,0.15,0.35,14,286.94497390834033,871.8593987057741,-35.426481676269404,-52.32879989304242,-67.58406920228775,78.57142857142857,0,0,0,0,239.63612546673892
1.5,1.25,2.0,0.15,0.35,14,269.4797966990312,563.1556498451486,-35.02365463335803,-49.87078801253244,-67.58406920228775,85.71428571428571,0,0,0,0,222.1709482574298
2.5,1.25,2.0,0.15,0.35,14,223.15622893087885,482.960997136246,-37.76017627491204,-57.77250380195494,-71.00332589047945,64.28571428571429,0,0,0,0,173.45390080754325
1.5,1.0,1.5,0.15,0.35,14,140.4032942500359,721.7426464732398,-27.27762916185442,-44.11896637069401,-54.31834810388013,85.71428571428571,0,0,0,0,102.38045057731982
2.0,1.0,1.5,0.15,0.35,14,116.95592081861295,538.2796736784999,-26.830118208618337,-46.68704788490345,-59.15936846169105,78.57142857142857,0,0,0,0,75.54436289542922
3.0,1.25,2.0,0.1,0.5,14,109.63462421609276,684.5104838715035,-67.21534767297364,-73.75546905745108,-86.81761011810532,64.28571428571429,0,0,0,0,48.86229713341904
3.0,1.25,2.0,0.15,0.35,14,74.16372777233488,268.5974497096982,-57.80910680106134,-61.06998848283784,-78.89635875429398,71.42857142857143,0,0,0,0,18.93627664432909
2.5,1.0,1.5,0.15,0.35,14,63.44792789682349,523.7980611782353,-37.41246448390421,-55.327506330829024,-69.47780959431232,64.28571428571429,0,0,0,0,14.813461180804865
3.0,1.0,1.5,0.1,0.5,14,54.709713172203244,452.4164976203691,-66.73888771912226,-66.27669627232875,-85.19545404520343,57.14285714285714,0,0,0,0,-4.927104659439152
3.0,1.0,1.5,0.15,0.35,14,48.53566100325853,244.01106459523425,-52.00596900381322,-57.293926725405036,-77.78610927646601,57.14285714285714,0,0,0,0,-5.914615490267671
