turbo,pyr1,pyr2,dd,brake,start,end,return_pct,multiple,mdd_pct,liquidated
1.5,1.25,2.0,0.1,0.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,996.7347542250259,10.967347542250259,-77.41091316055581,0
1.5,1.25,2.0,0.1,0.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,819.7090087799635,9.197090087799635,-77.41091316055582,0
1.5,1.25,2.0,0.1,0.5,2021-06-14 00:00:00+00:00,2023-06-14 00:00:00+00:00,-30.556131663334828,0.6944386833666517,-72.67455843896641,0
1.5,1.25,2.0,0.1,0.5,2021-12-11 00:00:00+00:00,2023-12-11 00:00:00+00:00,30.694247746552428,1.3069424774655243,-55.985687295930205,0
1.5,1.25,2.0,0.1,0.5,2022-06-09 00:00:00+00:00,2024-06-08 00:00:00+00:00,88.25198573550432,1.8825198573550432,-46.942132986318526,0
1.5,1.25,2.0,0.1,0.5,2022-12-06 00:00:00+00:00,2024-12-05 00:00:00+00:00,499.8728013493173,5.998728013493173,-50.75088412569567,0
1.5,1.25,2.0,0.1,0.5,2023-06-04 00:00:00+00:00,2025-06-03 00:00:00+00:00,382.5662027118759,4.825662027118759,-50.750884125696,0
1.5,1.25,2.0,0.1,0.5,2023-12-01 00:00:00+00:00,2025-11-30 00:00:00+00:00,340.638465262728,4.40638465262728,-50.75088412569584,0
1.5,1.25,2.0,0.1,0.5,2024-05-29 00:00:00+00:00,2026-05-29 00:00:00+00:00,62.540415574777455,1.6254041557477745,-57.615801990606826,0
1.5,1.25,2.0,0.15,0.35,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,61.04642601730672,1.6104642601730672,-50.50517835855477,0
1.5,1.25,2.0,0.15,0.35,2018-06-30 00:00:00+00:00,2020-06-29 00:00:00+00:00,12.684567315778427,1.1268456731577843,-58.00539004660412,0
1.5,1.25,2.0,0.15,0.35,2018-12-27 00:00:00+00:00,2020-12-26 00:00:00+00:00,-35.02365463335803,0.6497634536664197,-49.223352808103705,0
1.5,1.25,2.0,0.15,0.35,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,553.3221084417515,6.533221084417516,-67.58406920228772,0
1.5,1.25,2.0,0.15,0.35,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,563.1556498451486,6.631556498451486,-67.58406920228772,0
1.5,1.25,2.0,0.15,0.35,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,473.1956837235664,5.731956837235664,-67.58406920228774,0
1.5,1.25,2.0,0.15,0.35,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,494.86419759979555,5.948641975997956,-67.58406920228775,0
1.5,1.25,2.0,0.15,0.35,2021-06-14 00:00:00+00:00,2023-06-14 00:00:00+00:00,-24.98809321750427,0.7501190678249573,-60.49748071741449,0
1.5,1.25,2.0,0.15,0.35,2021-12-11 00:00:00+00:00,2023-12-11 00:00:00+00:00,42.19719138490652,1.4219719138490652,-48.660745831403084,0
1.5,1.25,2.0,0.15,0.35,2022-06-09 00:00:00+00:00,2024-06-08 00:00:00+00:00,11.149964087292542,1.1114996408729254,-44.44856641810199,0
1.5,1.25,2.0,0.15,0.35,2022-12-06 00:00:00+00:00,2024-12-05 00:00:00+00:00,502.4114763784071,6.024114763784071,-42.27708772286992,0
1.5,1.25,2.0,0.15,0.35,2023-06-04 00:00:00+00:00,2025-06-03 00:00:00+00:00,367.6296925341399,4.676296925341399,-42.27708772286991,0
1.5,1.25,2.0,0.15,0.35,2023-12-01 00:00:00+00:00,2025-11-30 00:00:00+00:00,429.3357362595595,5.293357362595595,-42.2770877228701,0
1.5,1.25,2.0,0.15,0.35,2024-05-29 00:00:00+00:00,2026-05-29 00:00:00+00:00,171.3299008639225,2.713299008639225,-49.2363976665101,0
2.0,1.0,1.5,0.1,0.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,50.06406946051434,1.5006406946051434,-55.322402533407455,0
2.0,1.0,1.5,0.1,0.5,2018-06-30 00:00:00+00:00,2020-06-29 00:00:00+00:00,-32.85605471381453,0.6714394528618547,-68.68710346951275,0
2.0,1.0,1.5,0.1,0.5,2018-12-27 00:00:00+00:00,2020-12-26 00:00:00+00:00,-25.86841165042195,0.7413158834957805,-57.62569168506392,0
2.0,1.0,1.5,0.1,0.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,917.1082239436048,10.171082239436048,-63.05948815617415,0
2.0,1.0,1.5,0.1,0.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,891.3986999203823,9.913986999203823,-63.05948815617416,0
2.0,1.0,1.5,0.1,0.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,872.2951147057822,9.722951147057822,-63.05948815617417,0
2.0,1.0,1.5,0.1,0.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,587.4005679996354,6.874005679996354,-64.4150581101736,0
2.0,1.0,1.5,0.1,0.5,2021-06-14 00:00:00+00:00,2023-06-14 00:00:00+00:00,-14.342473571795422,0.8565752642820458,-63.077354413504196,0
2.0,1.0,1.5,0.1,0.5,2021-12-11 00:00:00+00:00,2023-12-11 00:00:00+00:00,10.888585085676915,1.1088858508567692,-52.32195139125659,0
2.0,1.0,1.5,0.1,0.5,2022-06-09 00:00:00+00:00,2024-06-08 00:00:00+00:00,72.2957609674906,1.722957609674906,-41.47339217062333,0
2.0,1.0,1.5,0.1,0.5,2022-12-06 00:00:00+00:00,2024-12-05 00:00:00+00:00,355.516312918829,4.55516312918829,-46.73122389661094,0
2.0,1.0,1.5,0.1,0.5,2023-06-04 00:00:00+00:00,2025-06-03 00:00:00+00:00,264.53096349880315,3.6453096349880316,-46.73122389661071,0
2.0,1.0,1.5,0.1,0.5,2023-12-01 00:00:00+00:00,2025-11-30 00:00:00+00:00,210.4863614961063,3.104863614961063,-46.731223896610615,0
2.0,1.0,1.5,0.1,0.5,2024-05-29 00:00:00+00:00,2026-05-29 00:00:00+00:00,54.98068239874421,1.549806823987442,-52.9391460842485,0
2.0,1.0,1.5,0.15,0.35,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,30.996199833992243,1.3099619983399224,-46.24889083505613,0
2.0,1.0,1.5,0.15,0.35,2018-06-30 00:00:00+00:00,2020-06-29 00:00:00+00:00,1.3487204826617027,1.013487204826617,-59.15936846169105,0
2.0,1.0,1.5,0.15,0.35,2018-12-27 00:00:00+00:00,2020-12-26 00:00:00+00:00,-26.830118208618337,0.7316988179138166,-47.125204934750776,0
2.0,1.0,1.5,0.15,0.35,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,320.98734961091833,4.209873496109183,-52.71789099266866,0
2.0,1.0,1.5,0.15,0.35,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,361.6468310488607,4.616468310488607,-52.717890992668636,0
2.0,1.0,1.5,0.15,0.35,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,406.36385435479883,5.063638543547988,-52.71789099266866,0
