breadth_min,breadth_strong,breadth_ultra,base_total,strong_total,ultra_total,p1,p2,p3,trail1,trail2,trail3,edge,ultra_ema,cooldown,max_total,start,end,return_pct,multiple,mdd_pct,liquidated
0.4,0.6,0.7,0.9,1.2,1.5,1.1,1.5,2.0,0.18,0.14,0.1,0.035,1.1,24,2.5,2021-06-14 00:00:00+00:00,2023-06-14 00:00:00+00:00,66.5544472250645,1.665544472250645,-20.2539959999957,0
0.4,0.6,0.7,0.9,1.2,1.5,1.1,1.5,2.0,0.18,0.14,0.1,0.035,1.1,24,2.5,2021-12-11 00:00:00+00:00,2023-12-11 00:00:00+00:00,-16.67640232541403,0.8332359767458597,-21.028809094668876,0
0.4,0.6,0.7,0.9,1.2,1.5,1.1,1.5,2.0,0.18,0.14,0.1,0.035,1.1,24,2.5,2022-06-09 00:00:00+00:00,2024-06-08 00:00:00+00:00,-17.705005024874808,0.8229499497512519,-20.20467845523035,0
0.4,0.6,0.7,0.9,1.2,1.5,1.1,1.5,2.0,0.18,0.14,0.1,0.035,1.1,24,2.5,2022-12-06 00:00:00+00:00,2024-12-05 00:00:00+00:00,35.70657767996739,1.3570657767996739,-20.20290239429596,0
0.4,0.6,0.7,0.9,1.2,1.5,1.1,1.5,2.0,0.18,0.14,0.1,0.035,1.1,24,2.5,2023-06-04 00:00:00+00:00,2025-06-03 00:00:00+00:00,-19.24959242378511,0.8075040757621489,-22.4608022732678,0
0.4,0.6,0.7,0.9,1.2,1.5,1.1,1.5,2.0,0.18,0.14,0.1,0.035,1.1,24,2.5,2023-12-01 00:00:00+00:00,2025-11-30 00:00:00+00:00,113.36253209063219,2.133625320906322,-20.65503796494872,0
0.4,0.6,0.7,0.9,1.2,1.5,1.1,1.5,2.0,0.18,0.14,0.1,0.035,1.1,24,2.5,2024-05-29 00:00:00+00:00,2026-05-29 00:00:00+00:00,-17.220700593293834,0.8277929940670616,-20.21355117564354,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.14,0.11,0.09,0.035,1.1,24,2.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,146.23206833285477,2.4623206833285476,-23.520284256662972,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.14,0.11,0.09,0.035,1.1,24,2.5,2018-06-30 00:00:00+00:00,2020-06-29 00:00:00+00:00,7.661426830466689,1.0766142683046669,-20.533585024035894,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.14,0.11,0.09,0.035,1.1,24,2.5,2018-12-27 00:00:00+00:00,2020-12-26 00:00:00+00:00,-22.40442383709813,0.7759557616290187,-23.711113221535317,0
